t,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B
1,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005,0.05,0.0005
200,0.041,0.0005,0.042,0.0005,0.043,0.0005,0.041,0.0005,0.043,0.0005,0.042,0.0005,0.042,0.0005,0.04,0.0005,0.04,0.0005,0.039,0.0005,0.04,0.0005,0.041,0.0005,0.037,0.0005,0.042,0.0005,0.046,0.001,0.042,0.0005,0.042,0.0005,0.041,0.0005,0.038,0.0005,0.042,0.0005,0.044,0.005,0.042,0.0005,0.041,0.0005,0.041,0.0005,0.041,0.0005,0.04,0.0005,0.045,0.0005,0.04,0.0005,0.039,0.0005,0.041,0.0005,0.043,0.0005,0.039,0.0005,0.04,0.0005,0.043,0.0005,0.038,0.0005,0.038,0.0005,0.044,0.0005,0.038,0.0005,0.039,0.0005,0.039,0.0005,0.043,0.0005,0.041,0.0005,0.042,0.0005,0.042,0.0005,0.038,0.0005,0.039,0.0005,0.041,0.0005,0.04,0.0005,0.043,0.0005,0.043,0.0005,0.042,0.0005,0.041,0.0005,0.043,0.0005,0.044,0.0005,0.041,0.0005,0.041,0.0005,0.044,0.0005,0.039,0.01,0.038,0.0005,0.045,0.0005,0.037,0.0005,0.041,0.0005,0.045,0.0005,0.042,0.0005,0.042,0.006,0.046,0.0005,0.042,0.0005,0.038,0.0005,0.04,0.0005,0.044,0.0005,0.04,0.003,0.04,0.0005,0.041,0.0005,0.04,0.0005,0.041,0.001,0.041,0.0005,0.039,0.0005,0.038,0.0005,0.04,0.0005,0.042,0.0005,0.04,0.0005,0.044,0.0005,0.042,0.0005,0.033,0.0005,0.04,0.0005,0.038,0.003,0.039,0.0005,0.04,0.0005,0.042,0.0005,0.04,0.0005,0.045,0.0005,0.034,0.0005,0.038,0.0005,0.042,0.0005,0.042,0.0005,0.043,0.0005,0.042,0.0005,0.041,0.0005,0.046,0.0005,0.038,0.0005
400,0.034,0.0005,0.034,0.0005,0.038,0.0005,0.038,0.0005,0.033,0.0005,0.034,0.0005,0.032,0.0005,0.033,0.0005,0.03,0.0005,0.035,0.0005,0.029,0.0005,0.033,0.0005,0.033,0.012,0.038,0.0005,0.04,0.001,0.034,0.0005,0.032,0.0005,0.034,0.0005,0.028,0.0005,0.034,0.0005,0.03,0.005,0.033,0.011,0.038,0.011,0.033,0.016,0.038,0.0005,0.038,0.0005,0.037,0.0005,0.035,0.0005,0.033,0.0005,0.035,0.0005,0.038,0.0005,0.031,0.0005,0.033,0.0005,0.032,0.0005,0.03,0.0005,0.031,0.011,0.037,0.0005,0.031,0.0005,0.028,0.0005,0.035,0.0005,0.037,0.0005,0.037,0.0005,0.037,0.0005,0.036,0.0005,0.028,0.0005,0.034,0.0005,0.03,0.0005,0.032,0.0005,0.036,0.0005,0.036,0.0005,0.033,0.0005,0.036,0.0005,0.036,0.0005,0.034,0.0005,0.033,0.0005,0.034,0.009,0.037,0.0005,0.034,0.014,0.033,0.0005,0.038,0.0005,0.026,0.0005,0.029,0.0005,0.037,0.0005,0.036,0.0005,0.03,0.016,0.036,0.0005,0.036,0.0005,0.028,0.0005,0.03,0.0005,0.036,0.0005,0.032,0.003,0.033,0.0005,0.031,0.0005,0.031,0.0005,0.037,0.001,0.037,0.0005,0.03,0.0005,0.028,0.0005,0.035,0.0005,0.03,0.0005,0.032,0.0005,0.035,0.0005,0.034,0.0005,0.03,0.0005,0.033,0.0005,0.032,0.003,0.032,0.0005,0.037,0.0005,0.031,0.0005,0.035,0.0005,0.035,0.0005,0.029,0.02,0.029,0.0005,0.034,0.0005,0.036,0.009,0.034,0.0005,0.03,0.0005,0.032,0.016,0.035,0.0005,0.03,0.0005
600,0.029,0.0005,0.026,0.0005,0.027,0.0005,0.034,0.0005,0.026,0.0005,0.03,0.0005,0.027,0.0005,0.026,0.0005,0.027,0.0005,0.027,0.0005,0.021,0.0005,0.029,0.02,0.033,0.014,0.029,0.0005,0.03,0.001,0.025,0.0005,0.025,0.0005,0.03,0.0005,0.023,0.0005,0.03,0.0005,0.026,0.02,0.031,0.019,0.035,0.014,0.031,0.018,0.033,0.0005,0.034,0.0005,0.03,0.014,0.03,0.0005,0.029,0.0005,0.03,0.0005,0.031,0.0005,0.031,0.018,0.023,0.0005,0.021,0.0005,0.026,0.0005,0.027,0.019,0.029,0.018,0.027,0.0005,0.023,0.0005,0.026,0.0005,0.027,0.0005,0.029,0.0005,0.031,0.0005,0.032,0.0005,0.024,0.0005,0.029,0.0005,0.024,0.0005,0.025,0.0005,0.031,0.0005,0.031,0.0005,0.028,0.0005,0.027,0.02,0.028,0.0005,0.028,0.0005,0.027,0.0005,0.03,0.019,0.03,0.0005,0.029,0.015,0.025,0.0005,0.029,0.0005,0.021,0.0005,0.02,0.0005,0.035,0.0005,0.029,0.0005,0.026,0.022,0.03,0.0005,0.033,0.0005,0.024,0.0005,0.024,0.0005,0.027,0.0005,0.024,0.003,0.024,0.0005,0.023,0.0005,0.024,0.0005,0.03,0.001,0.029,0.0005,0.022,0.0005,0.021,0.0005,0.026,0.0005,0.024,0.0005,0.025,0.0005,0.03,0.0005,0.028,0.0005,0.024,0.0005,0.028,0.0005,0.025,0.003,0.026,0.0005,0.03,0.0005,0.025,0.024,0.027,0.0005,0.028,0.0005,0.021,0.023,0.025,0.0005,0.031,0.0005,0.031,0.018,0.027,0.0005,0.026,0.0005,0.027,0.016,0.026,0.0005,0.024,0.0005
800,0.024,0.0005,0.021,0.0005,0.023,0.0005,0.031,0.0005,0.021,0.0005,0.024,0.0005,0.021,0.0005,0.023,0.0005,0.025,0.0005,0.023,0.024,0.017,0.031,0.028,0.021,0.029,0.02,0.023,0.0005,0.024,0.001,0.02,0.0005,0.021,0.0005,0.027,0.0005,0.018,0.0005,0.026,0.0005,0.026,0.022,0.028,0.02,0.031,0.018,0.028,0.021,0.03,0.0005,0.027,0.022,0.026,0.021,0.027,0.0005,0.023,0.0005,0.025,0.0005,0.029,0.02,0.03,0.018,0.019,0.0005,0.019,0.0005,0.022,0.0005,0.028,0.021,0.022,0.018,0.023,0.0005,0.019,0.0005,0.021,0.0005,0.02,0.0005,0.025,0.0005,0.028,0.0005,0.029,0.0005,0.018,0.0005,0.022,0.0005,0.021,0.0005,0.02,0.0005,0.028,0.0005,0.025,0.0005,0.022,0.0005,0.032,0.017,0.022,0.0005,0.024,0.0005,0.023,0.0005,0.024,0.025,0.026,0.0005,0.023,0.015,0.018,0.0005,0.022,0.0005,0.017,0.0005,0.017,0.0005,0.027,0.0005,0.025,0.0005,0.023,0.026,0.023,0.0005,0.03,0.0005,0.02,0.027,0.021,0.0005,0.024,0.0005,0.022,0.027,0.02,0.0005,0.019,0.0005,0.022,0.0005,0.024,0.001,0.026,0.0005,0.02,0.0005,0.018,0.0005,0.022,0.0005,0.019,0.0005,0.021,0.0005,0.026,0.023,0.02,0.0005,0.02,0.0005,0.022,0.0005,0.023,0.025,0.02,0.0005,0.023,0.0005,0.025,0.024,0.022,0.0005,0.022,0.0005,0.019,0.028,0.017,0.031,0.027,0.0005,0.027,0.022,0.021,0.0005,0.019,0.0005,0.024,0.025,0.018,0.0005,0.025,0.024
1000,0.019,0.0005,0.019,0.0005,0.019,0.0005,0.024,0.0005,0.019,0.03,0.017,0.0005,0.016,0.0005,0.018,0.0005,0.021,0.0005,0.024,0.025,0.021,0.028,0.024,0.021,0.026,0.023,0.019,0.0005,0.02,0.001,0.016,0.0005,0.017,0.0005,0.025,0.0005,0.015,0.0005,0.025,0.023,0.023,0.025,0.03,0.019,0.033,0.016,0.022,0.021,0.026,0.0005,0.024,0.025,0.025,0.023,0.022,0.0005,0.021,0.0005,0.021,0.0005,0.03,0.019,0.026,0.018,0.018,0.0005,0.016,0.0005,0.02,0.029,0.025,0.023,0.018,0.031,0.021,0.0005,0.018,0.0005,0.02,0.0005,0.017,0.0005,0.018,0.0005,0.025,0.0005,0.021,0.0005,0.016,0.0005,0.018,0.0005,0.017,0.0005,0.015,0.0005,0.025,0.0005,0.022,0.0005,0.022,0.0005,0.028,0.018,0.021,0.0005,0.017,0.0005,0.019,0.0005,0.021,0.026,0.022,0.025,0.02,0.027,0.016,0.0005,0.016,0.0005,0.014,0.0005,0.015,0.0005,0.02,0.0005,0.021,0.0005,0.025,0.025,0.02,0.0005,0.023,0.0005,0.023,0.025,0.017,0.0005,0.013,0.0005,0.026,0.023,0.017,0.0005,0.018,0.0005,0.018,0.0005,0.021,0.001,0.026,0.0005,0.019,0.03,0.014,0.0005,0.021,0.0005,0.02,0.028,0.016,0.0005,0.022,0.026,0.021,0.028,0.017,0.0005,0.016,0.0005,0.024,0.025,0.017,0.0005,0.016,0.0005,0.028,0.021,0.018,0.031,0.02,0.0005,0.023,0.025,0.017,0.028,0.019,0.0005,0.027,0.022,0.012,0.0005,0.015,0.0005,0.022,0.027,0.016,0.0005,0.022,0.024
1200,0.013,0.036,0.016,0.0005,0.017,0.0005,0.022,0.027,0.018,0.026,0.013,0.0005,0.013,0.0005,0.016,0.0005,0.017,0.0005,0.024,0.024,0.02,0.029,0.027,0.022,0.024,0.024,0.016,0.0005,0.015,0.001,0.014,0.0005,0.014,0.0005,0.02,0.0005,0.016,0.03,0.024,0.025,0.023,0.026,0.027,0.02,0.031,0.018,0.018,0.031,0.018,0.0005,0.03,0.019,0.026,0.023,0.018,0.0005,0.014,0.0005,0.019,0.029,0.029,0.02,0.024,0.021,0.011,0.0005,0.011,0.0005,0.02,0.029,0.025,0.024,0.016,0.033,0.02,0.0005,0.017,0.03,0.019,0.0005,0.016,0.0005,0.015,0.0005,0.021,0.027,0.019,0.0005,0.012,0.0005,0.016,0.0005,0.013,0.033,0.013,0.0005,0.02,0.0005,0.018,0.0005,0.019,0.0005,0.026,0.023,0.017,0.0005,0.014,0.0005,0.021,0.028,0.023,0.026,0.017,0.029,0.02,0.024,0.013,0.0005,0.016,0.031,0.013,0.0005,0.013,0.0005,0.019,0.0005,0.014,0.0005,0.02,0.028,0.016,0.0005,0.019,0.0005,0.022,0.027,0.014,0.0005,0.011,0.0005,0.022,0.024,0.016,0.033,0.015,0.0005,0.015,0.034,0.015,0.001,0.018,0.0005,0.018,0.031,0.012,0.0005,0.017,0.0005,0.018,0.03,0.013,0.0005,0.022,0.027,0.021,0.028,0.012,0.037,0.012,0.0005,0.022,0.026,0.011,0.0005,0.014,0.0005,0.023,0.025,0.018,0.031,0.019,0.0005,0.022,0.027,0.023,0.026,0.018,0.031,0.026,0.023,0.011,0.0005,0.012,0.0005,0.025,0.024,0.014,0.0005,0.023,0.026
1400,0.014,0.034,0.015,0.0005,0.014,0.0005,0.02,0.027,0.024,0.025,0.016,0.033,0.009,0.0005,0.013,0.0005,0.014,0.0005,0.02,0.028,0.019,0.03,0.024,0.025,0.021,0.027,0.013,0.0005,0.013,0.001,0.01,0.0005,0.01,0.0005,0.015,0.0005,0.019,0.029,0.025,0.024,0.019,0.027,0.024,0.025,0.026,0.021,0.017,0.027,0.015,0.0005,0.028,0.02,0.024,0.025,0.014,0.0005,0.011,0.037,0.014,0.034,0.027,0.022,0.027,0.022,0.01,0.0005,0.008,0.0005,0.02,0.028,0.025,0.023,0.018,0.03,0.018,0.0005,0.02,0.028,0.015,0.0005,0.013,0.0005,0.015,0.029,0.021,0.027,0.015,0.0005,0.012,0.029,0.014,0.035,0.02,0.029,0.011,0.0005,0.016,0.0005,0.016,0.0005,0.013,0.0005,0.025,0.021,0.012,0.0005,0.009,0.04,0.017,0.029,0.025,0.024,0.016,0.033,0.018,0.03,0.009,0.0005,0.015,0.034,0.009,0.0005,0.009,0.0005,0.016,0.0005,0.01,0.0005,0.015,0.034,0.012,0.034,0.017,0.0005,0.023,0.026,0.01,0.0005,0.011,0.0005,0.021,0.024,0.013,0.035,0.012,0.0005,0.017,0.032,0.014,0.035,0.014,0.0005,0.019,0.029,0.01,0.0005,0.016,0.0005,0.021,0.027,0.006,0.0005,0.022,0.026,0.023,0.026,0.012,0.029,0.01,0.0005,0.023,0.025,0.009,0.0005,0.01,0.037,0.022,0.027,0.022,0.026,0.014,0.0005,0.022,0.025,0.021,0.028,0.021,0.028,0.024,0.025,0.01,0.0005,0.01,0.0005,0.022,0.026,0.013,0.0005,0.022,0.027
1600,0.016,0.032,0.014,0.0005,0.011,0.0005,0.017,0.031,0.023,0.025,0.021,0.028,0.009,0.036,0.009,0.0005,0.012,0.0005,0.02,0.029,0.017,0.032,0.024,0.024,0.024,0.025,0.009,0.0005,0.01,0.001,0.009,0.0005,0.008,0.0005,0.011,0.0005,0.018,0.029,0.026,0.022,0.026,0.023,0.024,0.023,0.028,0.021,0.022,0.025,0.013,0.0005,0.028,0.021,0.015,0.033,0.013,0.0005,0.016,0.033,0.018,0.031,0.025,0.024,0.026,0.02,0.008,0.0005,0.008,0.0005,0.022,0.026,0.024,0.025,0.017,0.032,0.014,0.0005,0.026,0.023,0.012,0.0005,0.011,0.0005,0.023,0.026,0.022,0.027,0.012,0.0005,0.022,0.026,0.018,0.029,0.021,0.028,0.008,0.0005,0.014,0.0005,0.015,0.0005,0.011,0.0005,0.029,0.019,0.01,0.0005,0.017,0.03,0.02,0.029,0.025,0.023,0.016,0.033,0.019,0.024,0.009,0.0005,0.016,0.032,0.008,0.0005,0.007,0.0005,0.011,0.0005,0.009,0.04,0.011,0.035,0.023,0.026,0.011,0.0005,0.025,0.022,0.009,0.0005,0.008,0.0005,0.021,0.028,0.013,0.034,0.008,0.0005,0.018,0.03,0.017,0.032,0.009,0.0005,0.02,0.029,0.01,0.039,0.013,0.0005,0.022,0.027,0.005,0.0005,0.024,0.022,0.02,0.029,0.021,0.028,0.009,0.0005,0.021,0.028,0.009,0.038,0.015,0.032,0.029,0.019,0.017,0.027,0.011,0.0005,0.022,0.026,0.024,0.025,0.02,0.029,0.022,0.027,0.01,0.0005,0.01,0.0005,0.023,0.026,0.011,0.0005,0.023,0.025
1800,0.013,0.036,0.009,0.0005,0.007,0.0005,0.017,0.032,0.028,0.021,0.018,0.03,0.016,0.033,0.005,0.0005,0.009,0.0005,0.019,0.029,0.017,0.031,0.025,0.021,0.023,0.025,0.008,0.0005,0.012,0.037,0.007,0.0005,0.005,0.042,0.01,0.0005,0.022,0.027,0.027,0.021,0.027,0.022,0.022,0.027,0.031,0.017,0.025,0.024,0.009,0.0005,0.024,0.022,0.017,0.032,0.012,0.0005,0.019,0.028,0.014,0.029,0.023,0.026,0.028,0.02,0.008,0.0005,0.005,0.0005,0.023,0.026,0.021,0.026,0.02,0.029,0.009,0.0005,0.022,0.025,0.01,0.0005,0.011,0.037,0.022,0.026,0.024,0.023,0.011,0.0005,0.023,0.025,0.022,0.027,0.024,0.025,0.007,0.0005,0.011,0.0005,0.014,0.0005,0.008,0.039,0.026,0.023,0.01,0.0005,0.023,0.026,0.016,0.033,0.02,0.028,0.018,0.03,0.029,0.019,0.006,0.0005,0.015,0.03,0.005,0.0005,0.007,0.0005,0.011,0.0005,0.01,0.034,0.013,0.033,0.022,0.027,0.009,0.0005,0.024,0.025,0.007,0.0005,0.007,0.0005,0.021,0.022,0.014,0.034,0.004,0.0005,0.018,0.029,0.018,0.028,0.008,0.0005,0.025,0.023,0.016,0.033,0.012,0.0005,0.024,0.021,0.002,0.0005,0.028,0.021,0.022,0.026,0.022,0.027,0.008,0.0005,0.024,0.023,0.009,0.033,0.015,0.033,0.026,0.022,0.018,0.031,0.006,0.0005,0.02,0.026,0.027,0.022,0.026,0.022,0.02,0.028,0.008,0.0005,0.009,0.0005,0.023,0.026,0.009,0.0005,0.022,0.026
