t,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B
1,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005,0.5,0.0005
100000,0.454423,0.046058,0.454841,0.045649,0.454703,0.045793,0.454839,0.045658,0.454739,0.045748,0.454957,0.045536,0.454527,0.045969,0.454695,0.045786,0.45475,0.045738,0.455104,0.045385,0.454701,0.045793,0.454949,0.045549,0.454996,0.045503,0.454669,0.045812,0.454622,0.045875,0.454606,0.045888,0.454692,0.045773,0.454709,0.045787,0.454817,0.045665,0.454894,0.045605,0.45465,0.045836,0.455103,0.045396,0.45461,0.045874,0.454609,0.045889,0.454506,0.045992,0.45468,0.045808,0.454666,0.045833,0.454528,0.045957,0.454978,0.045518,0.454459,0.04604,0.454948,0.045542,0.454868,0.045631,0.454539,0.04596,0.454732,0.045757,0.454571,0.045886,0.454739,0.045727,0.454556,0.045941,0.454642,0.045855,0.454862,0.045632,0.454491,0.045999,0.454826,0.045664,0.45497,0.045528,0.454819,0.045678,0.454822,0.045663,0.454732,0.04572,0.454851,0.045646,0.454757,0.045736,0.454614,0.045885,0.454761,0.04572,0.454793,0.045704,0.454822,0.045677,0.454791,0.045699,0.454824,0.045675,0.45459,0.045902,0.454494,0.046,0.45481,0.04568,0.454984,0.045513,0.454583,0.045915,0.454737,0.045761,0.454605,0.045884,0.454662,0.045832,0.454536,0.045958,0.454861,0.045635,0.454642,0.045857,0.45454,0.045952,0.454849,0.045631,0.455067,0.04543,0.454654,0.045843,0.455011,0.045483,0.45478,0.045719,0.454615,0.045884,0.454519,0.045967,0.454778,0.045721,0.454731,0.045752,0.4548,0.045695,0.454593,0.045906,0.454519,0.045976,0.454415,0.046077,0.454601,0.045882,0.454853,0.045641,0.45472,0.045743,0.454857,0.045624,0.454766,0.045729,0.454848,0.045644,0.454795,0.045698,0.454686,0.045811,0.454852,0.045647,0.454475,0.046015,0.454539,0.045958,0.454745,0.045748,0.454745,0.045753,0.454718,0.045773,0.455,0.045485,0.454803,0.045678,0.454622,0.045877,0.454766,0.045723,0.454586,0.045896,0.454752,0.045747,0.454646,0.04585,0.45473,0.045719
200000,0.417348,0.083144,0.417648,0.082843,0.417378,0.083115,0.417781,0.082717,0.417526,0.082967,0.418012,0.082487,0.417543,0.082948,0.417546,0.082953,0.417724,0.082774,0.418143,0.082349,0.417691,0.082803,0.417854,0.082643,0.417957,0.082541,0.417639,0.082859,0.417529,0.08297,0.41762,0.082877,0.417725,0.082774,0.417708,0.082787,0.417719,0.082779,0.417803,0.082695,0.417447,0.083047,0.417843,0.082647,0.417862,0.082637,0.417752,0.082743,0.417629,0.082868,0.417783,0.082716,0.417602,0.082894,0.417269,0.083227,0.41817,0.082327,0.417216,0.083262,0.417637,0.082859,0.418129,0.08237,0.417372,0.083125,0.417753,0.082745,0.417612,0.082886,0.417567,0.08293,0.417448,0.083051,0.417806,0.082692,0.417793,0.082705,0.417632,0.082863,0.417633,0.082859,0.41775,0.082749,0.417791,0.082707,0.417889,0.082609,0.417901,0.082586,0.417577,0.082921,0.417515,0.082982,0.417506,0.082987,0.417626,0.082873,0.417737,0.082748,0.417919,0.082564,0.417705,0.082792,0.417827,0.082665,0.417406,0.08309,0.417359,0.083124,0.418055,0.082444,0.418146,0.082349,0.417306,0.083193,0.41769,0.082809,0.417819,0.08268,0.417816,0.082674,0.417593,0.082906,0.41759,0.082909,0.41765,0.082848,0.417431,0.08306,0.417831,0.082666,0.417885,0.08261,0.417732,0.082764,0.417799,0.08268,0.417534,0.082964,0.417744,0.082754,0.417412,0.083085,0.417781,0.082715,0.417437,0.083059,0.417867,0.082621,0.417447,0.083045,0.417295,0.083182,0.41744,0.08305,0.417492,0.082999,0.417749,0.082736,0.41766,0.082837,0.417574,0.082925,0.417357,0.083135,0.417715,0.082784,0.417565,0.082933,0.41723,0.083269,0.417714,0.082774,0.417575,0.082921,0.417765,0.082734,0.417699,0.082797,0.417672,0.082827,0.417533,0.082954,0.418197,0.082298,0.417545,0.082945,0.417815,0.082684,0.417587,0.08291,0.41724,0.083258,0.417639,0.08286,0.417457,0.083042,0.417575,0.082923
300000,0.386978,0.113517,0.387192,0.113307,0.387071,0.113423,0.387827,0.112669,0.387154,0.113344,0.387418,0.113081,0.387341,0.113158,0.387382,0.113116,0.387488,0.113011,0.387846,0.11265,0.387385,0.113113,0.387491,0.113008,0.387373,0.113117,0.387366,0.113133,0.387415,0.113082,0.387035,0.113463,0.387463,0.113031,0.387138,0.113357,0.387245,0.113254,0.387679,0.112819,0.387146,0.113346,0.387548,0.112946,0.387614,0.112882,0.38746,0.113038,0.386894,0.113605,0.387509,0.112989,0.387369,0.113129,0.387113,0.113385,0.387451,0.113044,0.387019,0.113477,0.387442,0.113057,0.387611,0.112881,0.387143,0.113352,0.387286,0.113213,0.386651,0.113847,0.387332,0.113165,0.38709,0.113408,0.387367,0.113131,0.387476,0.113022,0.386811,0.113688,0.387487,0.11301,0.387359,0.113138,0.387365,0.113132,0.387465,0.11303,0.38763,0.112865,0.386988,0.113505,0.387073,0.113424,0.387063,0.113434,0.387257,0.113241,0.387544,0.112954,0.387754,0.112743,0.387531,0.112965,0.38729,0.113205,0.386966,0.113533,0.386975,0.113524,0.387704,0.112795,0.387656,0.112843,0.387005,0.113494,0.387233,0.113266,0.387447,0.113045,0.387412,0.113084,0.387332,0.113167,0.387281,0.113218,0.387698,0.112801,0.387306,0.113187,0.387697,0.1128,0.387686,0.112813,0.387442,0.113057,0.387344,0.113155,0.38721,0.113289,0.387276,0.113223,0.387114,0.113378,0.387336,0.113163,0.387068,0.113431,0.387438,0.113051,0.386942,0.113557,0.386858,0.113631,0.38715,0.113347,0.387425,0.113073,0.387619,0.11288,0.387133,0.113366,0.387134,0.113365,0.387207,0.113292,0.387398,0.113101,0.387224,0.113272,0.386725,0.11377,0.387388,0.113105,0.387631,0.112864,0.387952,0.112544,0.387245,0.113254,0.387206,0.113293,0.387577,0.112916,0.387922,0.112575,0.387345,0.113151,0.387626,0.112873,0.387216,0.113283,0.386988,0.113508,0.387032,0.113465,0.387257,0.113241,0.387062,0.113435
400000,0.362257,0.138242,0.362256,0.13824,0.362296,0.138202,0.363031,0.137468,0.362149,0.13835,0.362373,0.138123,0.362464,0.138035,0.362649,0.137849,0.362682,0.137814,0.36285,0.137647,0.362845,0.137646,0.362569,0.137927,0.362561,0.137938,0.362555,0.137943,0.362403,0.138094,0.362091,0.138408,0.362577,0.137916,0.362492,0.138007,0.362576,0.137922,0.362663,0.137836,0.36234,0.138155,0.362788,0.137704,0.362677,0.137822,0.36283,0.137669,0.362201,0.138291,0.362707,0.13779,0.362115,0.138384,0.362109,0.138388,0.362355,0.138144,0.362023,0.138474,0.362449,0.138048,0.362585,0.137914,0.362617,0.137882,0.362416,0.138081,0.361961,0.138538,0.362449,0.13805,0.362227,0.138272,0.362629,0.13787,0.362817,0.13768,0.36224,0.138259,0.362523,0.137976,0.362345,0.138154,0.362574,0.137925,0.362562,0.137931,0.362767,0.137725,0.362138,0.138358,0.36211,0.138389,0.362013,0.138486,0.36236,0.138139,0.362823,0.137676,0.362928,0.137571,0.362453,0.138046,0.36283,0.137665,0.362222,0.138271,0.362246,0.138253,0.362727,0.137772,0.362545,0.13795,0.362318,0.138181,0.362433,0.138066,0.36264,0.137858,0.36247,0.138029,0.362743,0.137756,0.362287,0.138212,0.362726,0.13777,0.362342,0.138157,0.36276,0.137739,0.362571,0.137928,0.362668,0.13783,0.362229,0.138268,0.362389,0.138109,0.362446,0.138053,0.362489,0.13801,0.362563,0.137935,0.362209,0.13829,0.362429,0.13807,0.362194,0.138305,0.361859,0.138638,0.362482,0.138011,0.362528,0.137971,0.362477,0.138018,0.362214,0.138276,0.36226,0.138238,0.362137,0.138362,0.362559,0.13794,0.36251,0.137984,0.362057,0.13844,0.362892,0.137607,0.362896,0.1376,0.362489,0.13801,0.362676,0.137823,0.362433,0.138066,0.362851,0.137648,0.363169,0.13733,0.362356,0.138142,0.362798,0.1377,0.36255,0.137948,0.362341,0.138157,0.36254,0.137959,0.361994,0.138505,0.36243,0.138068
500000,0.341777,0.158722,0.341589,0.158908,0.342201,0.158298,0.342274,0.158223,0.342095,0.158403,0.342156,0.158343,0.342245,0.158254,0.342277,0.158222,0.342409,0.15809,0.342473,0.158026,0.342257,0.158242,0.342307,0.158192,0.342281,0.158212,0.342178,0.15832,0.34214,0.158354,0.342078,0.158421,0.342136,0.158363,0.342215,0.158282,0.342217,0.15828,0.342125,0.158374,0.342246,0.158253,0.342378,0.158121,0.342427,0.158072,0.342411,0.158088,0.341665,0.158833,0.342356,0.158143,0.34212,0.158379,0.341728,0.158766,0.341905,0.158594,0.341476,0.159023,0.342501,0.157997,0.342496,0.158001,0.342165,0.158334,0.342072,0.158422,0.341658,0.158838,0.342616,0.157875,0.342112,0.158384,0.342215,0.158284,0.342408,0.158091,0.341966,0.158532,0.342218,0.158281,0.341991,0.158508,0.342126,0.158372,0.342292,0.158207,0.342258,0.158238,0.342114,0.158374,0.341566,0.158931,0.341802,0.158697,0.342137,0.158361,0.342494,0.158004,0.342507,0.157992,0.342186,0.158311,0.342698,0.157801,0.341831,0.158667,0.341683,0.158812,0.342388,0.158111,0.342137,0.158361,0.341723,0.158775,0.34225,0.158249,0.342301,0.158198,0.342142,0.158357,0.342256,0.158243,0.342027,0.158472,0.342577,0.157917,0.342263,0.158236,0.342228,0.158271,0.342252,0.158247,0.342205,0.158294,0.341948,0.158551,0.341936,0.158563,0.34174,0.158757,0.342041,0.158454,0.342288,0.158206,0.341873,0.158626,0.342418,0.158074,0.342024,0.158475,0.341717,0.158781,0.341952,0.158544,0.342425,0.15807,0.341848,0.158651,0.342153,0.158345,0.341957,0.15854,0.341836,0.158662,0.342276,0.158223,0.342061,0.158432,0.341924,0.158575,0.342474,0.158025,0.342171,0.158325,0.341951,0.158548,0.342273,0.158225,0.342196,0.158303,0.342375,0.15812,0.342592,0.157907,0.342004,0.158495,0.34232,0.158179,0.34224,0.158258,0.341933,0.158566,0.342062,0.158437,0.34173,0.158769,0.342207,0.158285
600000,0.325356,0.175143,0.324939,0.175559,0.325561,0.174938,0.325517,0.174982,0.325421,0.175078,0.325835,0.174663,0.325463,0.175035,0.32553,0.174968,0.325761,0.174738,0.325574,0.174925,0.325474,0.175025,0.325731,0.174768,0.325713,0.174783,0.325409,0.175089,0.325276,0.175216,0.325761,0.174735,0.325557,0.174942,0.325483,0.175016,0.325652,0.174847,0.325603,0.174896,0.325518,0.17498,0.325528,0.174969,0.325554,0.174945,0.325621,0.174878,0.325072,0.175427,0.325547,0.17495,0.325464,0.175029,0.32511,0.175382,0.325199,0.1753,0.325139,0.175359,0.326042,0.174456,0.325956,0.174535,0.325525,0.174973,0.325534,0.174962,0.325199,0.175296,0.325913,0.174586,0.325325,0.175174,0.325415,0.175084,0.325611,0.174887,0.325153,0.175345,0.325597,0.174902,0.325391,0.175108,0.325317,0.175182,0.325653,0.174844,0.325581,0.174917,0.325518,0.17498,0.325102,0.175392,0.325559,0.17494,0.325213,0.175286,0.325661,0.174837,0.325877,0.17462,0.325364,0.175135,0.32606,0.174439,0.325386,0.175113,0.325064,0.175435,0.32551,0.174988,0.325443,0.175056,0.325175,0.175323,0.3256,0.174897,0.32542,0.175079,0.325763,0.174736,0.325727,0.174772,0.325419,0.175079,0.326133,0.174366,0.325782,0.174717,0.325623,0.174876,0.325416,0.175083,0.325848,0.174651,0.325561,0.174938,0.325348,0.175151,0.324976,0.175523,0.325513,0.174986,0.325553,0.174946,0.325151,0.175348,0.326137,0.174362,0.325402,0.175097,0.3251,0.175399,0.325334,0.175164,0.326111,0.174385,0.325479,0.175019,0.325716,0.174783,0.325604,0.174895,0.325242,0.175256,0.325334,0.175165,0.32535,0.175148,0.325351,0.175144,0.325791,0.174708,0.325688,0.174811,0.325517,0.174982,0.325387,0.175112,0.32564,0.174859,0.325745,0.17475,0.32581,0.174689,0.325209,0.17529,0.325838,0.174656,0.325618,0.174879,0.325386,0.175113,0.325223,0.175271,0.325263,0.175234,0.325673,0.174826
700000,0.3115,0.188996,0.31159,0.188908,0.312044,0.188455,0.312162,0.188333,0.311817,0.188679,0.311775,0.188724,0.311554,0.188945,0.312082,0.188417,0.312076,0.188421,0.311949,0.188548,0.312053,0.188444,0.31195,0.188549,0.311987,0.188511,0.311754,0.188744,0.311607,0.18889,0.311975,0.188522,0.312321,0.188178,0.311835,0.188662,0.311934,0.188564,0.312214,0.188284,0.31226,0.188239,0.311813,0.188682,0.312041,0.188453,0.311701,0.188798,0.311254,0.189242,0.312045,0.188453,0.311619,0.188879,0.310912,0.189587,0.311519,0.188977,0.311427,0.189072,0.312371,0.188128,0.312233,0.188265,0.311975,0.188524,0.312095,0.188404,0.311981,0.188518,0.311986,0.188512,0.31146,0.189039,0.311814,0.188682,0.311906,0.188593,0.311655,0.188843,0.311769,0.18873,0.311804,0.188694,0.311897,0.188599,0.311889,0.18861,0.311887,0.188612,0.312067,0.188432,0.311471,0.189028,0.311969,0.188522,0.31162,0.188879,0.311806,0.188693,0.312315,0.188183,0.311595,0.188904,0.312258,0.188239,0.31185,0.188649,0.311425,0.189074,0.311728,0.18877,0.311837,0.188662,0.311225,0.189274,0.311859,0.18864,0.311721,0.188778,0.312185,0.188311,0.311993,0.188506,0.311819,0.18868,0.312542,0.187952,0.31197,0.188529,0.311736,0.188761,0.311898,0.1886,0.312407,0.18809,0.311844,0.188654,0.312075,0.188424,0.311466,0.189033,0.311841,0.188657,0.311915,0.188583,0.311727,0.188771,0.312052,0.188446,0.31162,0.188879,0.311713,0.188782,0.311726,0.188772,0.312266,0.188233,0.311547,0.188952,0.312119,0.188379,0.311675,0.188823,0.311375,0.189123,0.311701,0.188798,0.311861,0.188636,0.311394,0.189104,0.311904,0.188595,0.31227,0.188228,0.311758,0.188741,0.311601,0.188898,0.311931,0.188567,0.31197,0.188528,0.312001,0.188498,0.311686,0.188813,0.31171,0.188789,0.311802,0.188697,0.311906,0.188593,0.311676,0.188823,0.311566,0.188932,0.312137,0.18836
800000,0.300374,0.200124,0.300606,0.199893,0.300971,0.199527,0.30093,0.199569,0.300812,0.199687,0.30087,0.199628,0.30072,0.199779,0.300858,0.199641,0.301056,0.199441,0.300602,0.199896,0.300585,0.199914,0.300304,0.200194,0.300969,0.199529,0.300596,0.199901,0.300576,0.199923,0.300787,0.199712,0.301238,0.199261,0.300689,0.199808,0.300737,0.199762,0.301196,0.199302,0.300998,0.1995,0.300715,0.199784,0.300853,0.199646,0.300557,0.19994,0.300038,0.200454,0.301035,0.199464,0.300703,0.199794,0.299961,0.200537,0.300543,0.199956,0.300275,0.200224,0.301231,0.199267,0.301166,0.199332,0.30053,0.199969,0.300737,0.199762,0.300899,0.1996,0.300768,0.19973,0.3007,0.199799,0.301012,0.199487,0.300742,0.199757,0.300201,0.200297,0.300687,0.199812,0.300636,0.199863,0.300529,0.19997,0.300608,0.199888,0.300884,0.199615,0.300855,0.199644,0.300113,0.200386,0.301054,0.199445,0.300615,0.199884,0.300645,0.199853,0.300963,0.199536,0.300361,0.200138,0.300876,0.199619,0.300629,0.199869,0.300491,0.200008,0.300409,0.20009,0.300741,0.199758,0.300194,0.200304,0.300852,0.199644,0.300332,0.200162,0.301142,0.199357,0.300937,0.199562,0.300415,0.200079,0.301136,0.199362,0.300716,0.199778,0.300572,0.199927,0.300808,0.19969,0.301058,0.199437,0.300786,0.199711,0.300819,0.199678,0.300617,0.19988,0.300482,0.200017,0.300943,0.199556,0.30083,0.199667,0.300809,0.19969,0.300836,0.199663,0.300682,0.199817,0.300491,0.200008,0.301091,0.199408,0.300379,0.200119,0.300981,0.199518,0.300628,0.19987,0.300341,0.200157,0.300678,0.199821,0.300627,0.199871,0.30027,0.200224,0.300869,0.19963,0.30116,0.199339,0.300387,0.200111,0.300311,0.200187,0.300793,0.199702,0.30064,0.199859,0.300637,0.199861,0.300592,0.199906,0.300735,0.19976,0.300387,0.200112,0.300645,0.199854,0.300701,0.199797,0.300603,0.199896,0.300664,0.199835
900000,0.291268,0.209231,0.291656,0.208842,0.291616,0.208881,0.29184,0.208659,0.291225,0.209273,0.2916,0.208898,0.2913,0.209198,0.291662,0.208837,0.291941,0.208557,0.291283,0.209215,0.29134,0.209159,0.291079,0.20942,0.291708,0.208791,0.291566,0.208933,0.291238,0.20926,0.291639,0.208859,0.292248,0.208251,0.291461,0.209038,0.291654,0.208845,0.292037,0.208462,0.292031,0.208468,0.291549,0.20895,0.291559,0.208939,0.291335,0.209164,0.290966,0.209533,0.291941,0.208558,0.291414,0.209085,0.291166,0.209333,0.291243,0.209254,0.290952,0.209547,0.291942,0.208557,0.291992,0.208506,0.29139,0.209109,0.291573,0.208926,0.291411,0.209087,0.291659,0.20884,0.291659,0.208839,0.291973,0.208526,0.291909,0.20859,0.291266,0.209233,0.291825,0.208674,0.291655,0.208842,0.291227,0.209272,0.291486,0.209011,0.291672,0.208827,0.291508,0.208989,0.29106,0.209438,0.291852,0.208647,0.291129,0.20937,0.291248,0.20925,0.291832,0.208667,0.291123,0.209375,0.292041,0.208458,0.291877,0.208622,0.291666,0.208833,0.291096,0.209403,0.291572,0.208925,0.291199,0.2093,0.291548,0.208951,0.291128,0.209369,0.292008,0.208491,0.291918,0.208581,0.291456,0.209043,0.291967,0.208531,0.291653,0.208846,0.291474,0.209025,0.291564,0.208935,0.291855,0.208643,0.291524,0.208974,0.291579,0.208919,0.291544,0.208955,0.291149,0.20935,0.291594,0.208905,0.291949,0.20855,0.291832,0.208664,0.291899,0.208598,0.291927,0.208569,0.291096,0.209403,0.292,0.208498,0.291369,0.20913,0.291852,0.208647,0.29124,0.209258,0.291203,0.209294,0.291525,0.208974,0.291413,0.209083,0.291208,0.209289,0.291509,0.208987,0.292024,0.208474,0.291211,0.209288,0.291356,0.209143,0.291733,0.208764,0.291529,0.20897,0.291303,0.209196,0.291644,0.208855,0.291765,0.208732,0.291195,0.209304,0.291693,0.208805,0.291473,0.209025,0.29126,0.209239,0.291722,0.208776
