t,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B
1,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005,0.5,0.005
100000,0.455213,0.049784,0.455231,0.049751,0.45507,0.049927,0.455366,0.049632,0.4551,0.049884,0.455111,0.049888,0.455329,0.049649,0.455212,0.049783,0.454976,0.050021,0.455118,0.049869,0.455167,0.049823,0.455196,0.049759,0.454734,0.050264,0.4546,0.050365,0.455295,0.049684,0.455072,0.049896,0.454965,0.050025,0.45523,0.049763,0.45512,0.049877,0.455001,0.049994,0.455306,0.049693,0.455287,0.049683,0.455017,0.049971,0.455109,0.049885,0.455085,0.049906,0.455305,0.049688,0.454981,0.050014,0.455222,0.04977,0.455021,0.049956,0.455054,0.049945,0.455227,0.049765,0.454945,0.050051,0.455069,0.04992,0.455432,0.049567,0.455088,0.049885,0.455306,0.049693,0.4553,0.04969,0.455071,0.049924,0.4553,0.049674,0.455148,0.049839,0.455089,0.0499,0.455242,0.049744,0.455338,0.049652,0.454952,0.050045,0.455215,0.049763,0.455329,0.049669,0.455231,0.049768,0.454764,0.050228,0.455135,0.049848,0.455234,0.049765,0.455104,0.049888,0.455175,0.049794,0.455266,0.049714,0.455048,0.049951,0.455001,0.049998,0.455128,0.049869,0.455138,0.04986,0.455304,0.049691,0.45529,0.0497,0.455015,0.049974,0.455224,0.049773,0.455068,0.049924,0.455356,0.049641,0.45538,0.049603,0.455379,0.049617,0.454995,0.050004,0.455,0.049988,0.455036,0.049957,0.455195,0.049792,0.455024,0.049974,0.455116,0.049876,0.455307,0.049692,0.455019,0.049955,0.455337,0.04965,0.455224,0.049771,0.455193,0.049804,0.455009,0.04999,0.454823,0.050165,0.455338,0.049636,0.455186,0.049813,0.455002,0.049995,0.455036,0.049962,0.455097,0.049902,0.45526,0.049737,0.455007,0.049986,0.455254,0.049716,0.455136,0.049861,0.455135,0.049864,0.455114,0.049875,0.455176,0.049799,0.45488,0.050118,0.455228,0.049759,0.455052,0.049943,0.455165,0.049822,0.455106,0.049893,0.455319,0.049679,0.455028,0.049966,0.455135,0.049858,0.455223,0.049776,0.454863,0.050131
200000,0.418336,0.086653,0.418581,0.086418,0.418025,0.086972,0.418626,0.086373,0.418352,0.086636,0.41855,0.086424,0.41858,0.086412,0.418231,0.086755,0.418296,0.086696,0.418604,0.086395,0.418554,0.086445,0.418343,0.086654,0.418162,0.086833,0.417984,0.087008,0.418467,0.086529,0.418335,0.086664,0.418139,0.08686,0.418666,0.086331,0.418382,0.086616,0.41805,0.086944,0.418568,0.086431,0.418605,0.086389,0.418065,0.086933,0.418158,0.086841,0.418273,0.086724,0.418576,0.08642,0.418213,0.086786,0.418315,0.086682,0.418497,0.086487,0.418585,0.086414,0.418433,0.086566,0.418248,0.086751,0.418521,0.086468,0.418565,0.086433,0.418682,0.086313,0.418854,0.086141,0.418571,0.08642,0.418504,0.086485,0.41844,0.086559,0.418502,0.086497,0.418152,0.086847,0.418405,0.086592,0.418659,0.08634,0.418454,0.086545,0.418528,0.086458,0.418528,0.086468,0.418614,0.086383,0.418199,0.0868,0.418306,0.086691,0.418395,0.086604,0.41839,0.086607,0.418317,0.086681,0.418805,0.086181,0.418194,0.086792,0.418308,0.08669,0.418461,0.086535,0.418523,0.086475,0.418601,0.086398,0.418491,0.086508,0.418184,0.086809,0.418609,0.086388,0.418163,0.086832,0.418389,0.0866,0.418555,0.086444,0.418787,0.086204,0.418386,0.086613,0.418393,0.086606,0.418308,0.086691,0.418461,0.08653,0.418467,0.086515,0.418202,0.086797,0.418404,0.086588,0.418365,0.086627,0.418544,0.086454,0.418497,0.086495,0.418347,0.086649,0.418259,0.08674,0.417959,0.087026,0.418669,0.086328,0.418219,0.08678,0.418213,0.086785,0.41823,0.086768,0.41871,0.086284,0.418331,0.086666,0.418011,0.086986,0.41867,0.086328,0.418121,0.086878,0.418411,0.086578,0.418177,0.086822,0.418319,0.086677,0.418313,0.08668,0.41865,0.086348,0.418201,0.086792,0.418701,0.086298,0.418335,0.086663,0.418709,0.08629,0.418128,0.086858,0.418177,0.086821,0.418404,0.086588,0.418052,0.086939
300000,0.388268,0.116731,0.388439,0.116559,0.388334,0.116659,0.388424,0.116575,0.388473,0.116525,0.388355,0.116644,0.388389,0.11661,0.38845,0.116549,0.38801,0.116986,0.388479,0.116516,0.388594,0.116403,0.388339,0.116658,0.388179,0.11682,0.388051,0.116942,0.388369,0.11663,0.388203,0.116795,0.388126,0.116867,0.388504,0.116492,0.388487,0.116512,0.388339,0.116659,0.38862,0.116378,0.388715,0.116284,0.387935,0.117063,0.388246,0.116753,0.388397,0.116602,0.38826,0.116738,0.388168,0.116827,0.388018,0.116977,0.388414,0.116581,0.388542,0.116455,0.388645,0.116353,0.388672,0.116327,0.38833,0.116661,0.388365,0.116633,0.388644,0.116354,0.388766,0.116233,0.388426,0.116566,0.388513,0.116484,0.388419,0.11658,0.388578,0.116418,0.388202,0.116797,0.388722,0.116273,0.388677,0.116322,0.388381,0.116618,0.388393,0.116606,0.388319,0.11668,0.388695,0.116304,0.388082,0.11691,0.388206,0.116792,0.388344,0.116654,0.388521,0.116478,0.388504,0.116495,0.388551,0.116446,0.388188,0.116801,0.388071,0.116928,0.388378,0.116621,0.388373,0.116619,0.388499,0.1165,0.38819,0.116809,0.387975,0.117022,0.388408,0.116589,0.388024,0.116975,0.388199,0.1168,0.388451,0.116548,0.388456,0.116539,0.38833,0.116668,0.388435,0.116563,0.388323,0.116667,0.388361,0.116637,0.38846,0.116535,0.387943,0.117055,0.388287,0.116711,0.388361,0.116633,0.388081,0.116916,0.388415,0.11658,0.388152,0.116837,0.388241,0.116758,0.388041,0.116955,0.388449,0.116549,0.387969,0.117024,0.38804,0.116958,0.388397,0.116602,0.388513,0.116486,0.38813,0.116869,0.388041,0.116957,0.388334,0.116665,0.388278,0.11672,0.388181,0.116818,0.388086,0.116909,0.38821,0.116787,0.388209,0.116787,0.388207,0.116788,0.38826,0.116733,0.388678,0.11632,0.388252,0.116743,0.388942,0.116057,0.388318,0.11668,0.388207,0.116792,0.388397,0.116602,0.388228,0.116767
400000,0.363564,0.141434,0.363641,0.141357,0.363843,0.141155,0.363577,0.141422,0.363735,0.141263,0.363869,0.141126,0.363751,0.141248,0.363977,0.141013,0.363661,0.141332,0.363956,0.141042,0.363814,0.141184,0.363358,0.141638,0.363628,0.14137,0.363133,0.141861,0.363323,0.141676,0.363768,0.141231,0.363427,0.141571,0.363777,0.141222,0.363653,0.141346,0.363852,0.141146,0.36395,0.141049,0.363799,0.141198,0.363258,0.14174,0.363525,0.141474,0.36395,0.141049,0.363536,0.141462,0.36397,0.141028,0.363617,0.141382,0.364057,0.140938,0.363757,0.141242,0.363906,0.141091,0.363947,0.141051,0.363891,0.141103,0.363417,0.141581,0.363796,0.141202,0.364385,0.140613,0.36381,0.141185,0.363986,0.14101,0.363955,0.141044,0.363954,0.141045,0.363979,0.141019,0.364176,0.140823,0.364022,0.140976,0.363488,0.14151,0.363677,0.141322,0.363791,0.141205,0.364101,0.140893,0.363381,0.141617,0.363663,0.141335,0.36394,0.141058,0.363826,0.14117,0.363819,0.14118,0.363779,0.141218,0.363798,0.141201,0.363715,0.141281,0.363914,0.141085,0.363873,0.141125,0.363774,0.141224,0.363701,0.141298,0.363095,0.141903,0.363432,0.141567,0.36359,0.141409,0.363586,0.141412,0.363657,0.141337,0.363637,0.141361,0.363587,0.141412,0.363697,0.141302,0.364083,0.140916,0.363884,0.141115,0.363744,0.141255,0.363467,0.141532,0.363953,0.141046,0.363758,0.141241,0.363343,0.141655,0.363829,0.14117,0.363614,0.141385,0.363708,0.141288,0.363636,0.141363,0.363653,0.141345,0.363277,0.141722,0.363526,0.141471,0.363839,0.14116,0.363835,0.141164,0.363356,0.141642,0.363738,0.141261,0.363902,0.141092,0.364037,0.14096,0.363518,0.141481,0.363592,0.141407,0.363781,0.141218,0.363383,0.141615,0.36371,0.141288,0.363877,0.141115,0.363815,0.141179,0.363882,0.14111,0.364302,0.140696,0.363771,0.141227,0.363753,0.141246,0.363527,0.14147,0.363115,0.141883
500000,0.343472,0.161525,0.3439,0.161098,0.343551,0.161448,0.343374,0.161616,0.343534,0.161465,0.343729,0.16127,0.343743,0.161256,0.343736,0.161258,0.343613,0.161386,0.34357,0.161428,0.343943,0.161055,0.343207,0.161792,0.343604,0.161395,0.342926,0.162073,0.343269,0.161729,0.343569,0.16143,0.343356,0.161643,0.343623,0.161371,0.34338,0.161606,0.34344,0.161558,0.343614,0.161384,0.343885,0.161114,0.34321,0.161787,0.343476,0.161523,0.343835,0.161164,0.343349,0.161649,0.343598,0.161399,0.343379,0.161619,0.343847,0.161152,0.343893,0.161106,0.343735,0.161264,0.343768,0.161231,0.343657,0.161337,0.343212,0.16178,0.343689,0.161309,0.34406,0.160939,0.343745,0.161254,0.343793,0.161206,0.34402,0.160979,0.343825,0.161174,0.343754,0.161244,0.343885,0.161114,0.343679,0.161318,0.343345,0.161652,0.343655,0.161343,0.343609,0.16139,0.343807,0.161192,0.343632,0.161365,0.343114,0.161883,0.343686,0.161309,0.343943,0.161056,0.343436,0.16156,0.343453,0.161543,0.343592,0.161407,0.343404,0.161595,0.343749,0.16125,0.343434,0.161563,0.343833,0.161164,0.34344,0.161559,0.343512,0.161487,0.343278,0.161721,0.343475,0.161524,0.34336,0.161639,0.343375,0.161624,0.343659,0.161339,0.343314,0.161683,0.343798,0.16119,0.344112,0.160887,0.343891,0.161106,0.343729,0.161263,0.343453,0.161543,0.34356,0.161439,0.343616,0.161383,0.34302,0.161978,0.343999,0.161,0.343494,0.161504,0.343453,0.161546,0.343526,0.161472,0.343719,0.161279,0.343255,0.161744,0.34334,0.161658,0.344117,0.160882,0.343646,0.161351,0.343253,0.161743,0.343742,0.161256,0.34402,0.160979,0.343851,0.161148,0.343461,0.161536,0.343454,0.161545,0.343473,0.161525,0.342938,0.16206,0.343544,0.161455,0.343721,0.161276,0.343495,0.161504,0.343831,0.161167,0.343968,0.161029,0.343527,0.161472,0.343484,0.161514,0.343235,0.161764,0.343038,0.161961
600000,0.327316,0.177683,0.327007,0.177989,0.32699,0.178007,0.327048,0.177951,0.326943,0.178053,0.327137,0.17786,0.327176,0.177822,0.327124,0.177873,0.327219,0.17778,0.327131,0.177868,0.326965,0.178034,0.326865,0.178134,0.327153,0.177846,0.326673,0.178321,0.326888,0.178111,0.326945,0.178053,0.326986,0.178012,0.327097,0.177893,0.326911,0.178088,0.327055,0.177944,0.327203,0.177793,0.327644,0.177354,0.326825,0.178172,0.32728,0.177719,0.327309,0.17769,0.326933,0.178066,0.326889,0.17811,0.327071,0.177928,0.327583,0.177416,0.327367,0.177631,0.327179,0.177816,0.327279,0.17772,0.327172,0.177826,0.32669,0.178309,0.326958,0.178041,0.327512,0.177487,0.327056,0.177942,0.327411,0.177588,0.32763,0.177369,0.32732,0.177679,0.327172,0.177826,0.327414,0.177585,0.32736,0.177639,0.326998,0.178,0.326838,0.178158,0.327001,0.177998,0.327221,0.177778,0.327376,0.177623,0.326308,0.178689,0.327144,0.177854,0.327371,0.177628,0.327024,0.177975,0.327064,0.177935,0.327294,0.177705,0.326696,0.178303,0.32701,0.177989,0.326982,0.178017,0.327514,0.177485,0.326964,0.178035,0.326998,0.178,0.326958,0.178041,0.32703,0.177969,0.326886,0.178113,0.326914,0.178085,0.327176,0.177818,0.326904,0.178095,0.327086,0.177913,0.327664,0.177335,0.327292,0.177706,0.327265,0.177732,0.326593,0.178406,0.32694,0.178058,0.32719,0.177809,0.326565,0.178434,0.327249,0.17775,0.327072,0.177924,0.326891,0.178107,0.327126,0.177872,0.326792,0.178207,0.326922,0.178077,0.326846,0.178152,0.327315,0.177683,0.327284,0.177713,0.326617,0.178382,0.32687,0.178126,0.327634,0.177364,0.327182,0.177812,0.326882,0.178116,0.326901,0.178098,0.326918,0.17808,0.326499,0.1785,0.326965,0.178033,0.327282,0.177717,0.327134,0.177862,0.327681,0.177318,0.327356,0.177643,0.326998,0.177998,0.326922,0.178076,0.326513,0.178486,0.3264,0.178596
700000,0.313509,0.19149,0.313719,0.19128,0.313508,0.19149,0.313328,0.191671,0.313262,0.191734,0.3138,0.191199,0.313507,0.19149,0.313849,0.19115,0.313529,0.191469,0.313498,0.1915,0.313477,0.191522,0.313179,0.191819,0.313584,0.191415,0.31325,0.191748,0.313258,0.191741,0.313492,0.191507,0.313642,0.191356,0.313376,0.191623,0.313517,0.191482,0.313731,0.191266,0.313802,0.191196,0.313917,0.191082,0.313098,0.191901,0.313656,0.191342,0.313429,0.19157,0.313354,0.191644,0.313269,0.191729,0.31345,0.191547,0.31383,0.191168,0.313531,0.191468,0.313723,0.191275,0.313869,0.191129,0.313633,0.191362,0.313608,0.191391,0.313214,0.191783,0.313576,0.191422,0.313592,0.191407,0.313637,0.191362,0.313774,0.191225,0.313675,0.191324,0.31381,0.191189,0.31403,0.190969,0.313675,0.191321,0.313741,0.191258,0.313645,0.191354,0.313709,0.19129,0.313496,0.191495,0.313835,0.191164,0.312963,0.192031,0.313867,0.191128,0.313343,0.191656,0.313567,0.191432,0.313565,0.191433,0.313804,0.191195,0.313507,0.191492,0.313298,0.1917,0.313628,0.191368,0.314024,0.190975,0.313026,0.191971,0.313348,0.191651,0.313534,0.191463,0.313579,0.19142,0.313543,0.191454,0.313252,0.191747,0.313688,0.191311,0.313584,0.191415,0.313616,0.191383,0.314007,0.19099,0.31389,0.191108,0.314021,0.190977,0.312814,0.192185,0.313419,0.191579,0.313715,0.191284,0.312926,0.192072,0.313786,0.191213,0.313459,0.191539,0.313542,0.191457,0.313455,0.191544,0.313068,0.191929,0.313587,0.191412,0.313332,0.191662,0.313512,0.191481,0.313661,0.191338,0.313125,0.191874,0.313405,0.191594,0.314194,0.190805,0.313802,0.191197,0.313479,0.191519,0.313383,0.191615,0.313333,0.191666,0.312923,0.192075,0.313133,0.191866,0.313768,0.191229,0.313568,0.19143,0.314026,0.190973,0.313811,0.191188,0.313187,0.191808,0.313136,0.191863,0.313106,0.191892,0.313047,0.191952
800000,0.302488,0.202509,0.302933,0.202063,0.30315,0.201849,0.302199,0.202799,0.302088,0.202911,0.302302,0.202697,0.302664,0.202335,0.302548,0.202451,0.302243,0.202755,0.302574,0.202423,0.302361,0.202637,0.302318,0.202679,0.302667,0.202332,0.302135,0.202861,0.301983,0.203016,0.302575,0.202423,0.302449,0.202548,0.302111,0.202888,0.302613,0.202385,0.302397,0.202601,0.302835,0.202164,0.302617,0.202382,0.302015,0.202984,0.302559,0.202439,0.302259,0.202737,0.30236,0.202639,0.302117,0.202882,0.30264,0.202359,0.302727,0.202272,0.302382,0.202617,0.302331,0.202666,0.302684,0.202315,0.30255,0.202448,0.302434,0.202563,0.302474,0.202525,0.30242,0.202579,0.302618,0.202378,0.302428,0.202571,0.302629,0.202368,0.302646,0.202353,0.302761,0.202232,0.302854,0.202145,0.302569,0.20243,0.302711,0.202287,0.302482,0.202517,0.302685,0.202314,0.302504,0.202494,0.302688,0.20231,0.302085,0.202914,0.302651,0.202347,0.302411,0.202588,0.302451,0.202548,0.302439,0.20256,0.302792,0.202207,0.302021,0.202978,0.30226,0.202739,0.302623,0.202375,0.302872,0.202127,0.301887,0.203112,0.302346,0.202653,0.302608,0.202391,0.302623,0.202373,0.30251,0.202489,0.302521,0.202477,0.302488,0.20251,0.302517,0.202482,0.302691,0.202308,0.302862,0.202134,0.302828,0.20217,0.303321,0.201672,0.302016,0.202983,0.30235,0.202649,0.302581,0.202418,0.302087,0.202911,0.302536,0.202459,0.302494,0.202505,0.302387,0.202612,0.302486,0.202512,0.302562,0.202435,0.302752,0.202247,0.302161,0.202838,0.302416,0.202583,0.302537,0.202461,0.302499,0.202498,0.302456,0.202542,0.302919,0.20208,0.302662,0.202336,0.302431,0.202567,0.302512,0.202487,0.30227,0.202729,0.30188,0.203119,0.302196,0.202803,0.302721,0.202278,0.302365,0.202634,0.30255,0.202449,0.302727,0.20227,0.302475,0.20252,0.302116,0.202879,0.302103,0.202896,0.302122,0.202876
900000,0.293332,0.211665,0.293887,0.211111,0.294013,0.210984,0.293564,0.211435,0.292921,0.212078,0.293268,0.211731,0.293433,0.211566,0.293235,0.211762,0.293517,0.211482,0.293491,0.211508,0.293196,0.211802,0.292914,0.212084,0.293304,0.211692,0.292767,0.212231,0.293007,0.211992,0.293494,0.211505,0.293696,0.211303,0.29308,0.211919,0.293293,0.211706,0.293444,0.211551,0.293596,0.211402,0.293433,0.211564,0.292962,0.212033,0.293264,0.211732,0.293376,0.211622,0.293417,0.211582,0.292863,0.212136,0.293661,0.211336,0.293635,0.211364,0.2935,0.211499,0.293203,0.211793,0.293678,0.21132,0.293611,0.211386,0.293131,0.211868,0.293404,0.211593,0.293474,0.211524,0.293802,0.211197,0.293251,0.211748,0.293277,0.211722,0.293396,0.211603,0.293607,0.211392,0.293819,0.211179,0.293639,0.21136,0.294017,0.210982,0.293419,0.21158,0.293638,0.21136,0.293305,0.211692,0.29351,0.211489,0.293112,0.211887,0.293667,0.211332,0.29339,0.211608,0.293482,0.211517,0.293278,0.211719,0.293546,0.211451,0.293109,0.211888,0.293114,0.211885,0.293445,0.211554,0.293802,0.211195,0.292822,0.212177,0.293265,0.211732,0.293731,0.211268,0.293269,0.21173,0.293784,0.211214,0.293235,0.21176,0.293446,0.211552,0.293631,0.211368,0.293494,0.211503,0.293981,0.211017,0.293558,0.211441,0.29387,0.211128,0.293226,0.211773,0.293502,0.211496,0.29386,0.211139,0.293221,0.211778,0.293677,0.211322,0.293461,0.211537,0.292924,0.212074,0.293233,0.211766,0.2933,0.211698,0.293481,0.211518,0.293236,0.211763,0.293242,0.211756,0.293477,0.211521,0.293327,0.211671,0.29357,0.211429,0.293859,0.211138,0.293479,0.21152,0.293579,0.21142,0.293224,0.211775,0.293283,0.211716,0.292936,0.212063,0.293021,0.211972,0.293682,0.211317,0.293278,0.211721,0.293602,0.211397,0.293272,0.211726,0.293536,0.211462,0.293044,0.211954,0.293145,0.211851,0.292896,0.212103
