t,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B,C_A,C_B
1,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025
100000,0.047724,0.02727,0.047821,0.027178,0.047737,0.027256,0.047705,0.027294,0.047724,0.027275,0.047767,0.027231,0.047763,0.027231,0.047655,0.027336,0.047697,0.027298,0.047612,0.027387,0.047714,0.027285,0.047679,0.027319,0.047779,0.027219,0.047707,0.027292,0.047725,0.027268,0.047888,0.02711,0.047713,0.027282,0.047738,0.027261,0.04773,0.027265,0.047784,0.027213,0.047816,0.027182,0.047794,0.027203,0.04776,0.027236,0.047721,0.027277,0.047852,0.027147,0.047755,0.027241,0.04783,0.027169,0.047757,0.027241,0.047692,0.027306,0.047839,0.027159,0.047642,0.027357,0.047693,0.027304,0.047775,0.027223,0.047714,0.027285,0.047615,0.027378,0.047566,0.027433,0.047671,0.027326,0.047761,0.027238,0.047671,0.027327,0.047634,0.027365,0.047761,0.027238,0.047778,0.027221,0.047763,0.027234,0.047659,0.027339,0.047686,0.027312,0.047772,0.027227,0.047738,0.027258,0.047718,0.027281,0.047735,0.027264,0.047664,0.027335,0.047749,0.027249,0.047818,0.02718,0.047718,0.027276,0.047748,0.027251,0.047593,0.027402,0.047661,0.027337,0.047686,0.027307,0.047813,0.027186,0.047706,0.02729,0.047729,0.02727,0.047756,0.027243,0.047777,0.027219,0.047698,0.0273,0.047706,0.027292,0.047767,0.027232,0.047712,0.027286,0.047842,0.027157,0.047635,0.027364,0.047791,0.027205,0.047694,0.027305,0.047715,0.027283,0.04772,0.027274,0.047676,0.027318,0.047726,0.027272,0.047596,0.027403,0.047686,0.027313,0.047712,0.027283,0.047623,0.027376,0.047658,0.027341,0.047697,0.027298,0.047727,0.027269,0.047805,0.027192,0.047759,0.027229,0.047696,0.027302,0.047793,0.027206,0.0477,0.027295,0.047752,0.027243,0.047862,0.027137,0.047529,0.027469,0.047822,0.027173,0.047706,0.027293,0.047649,0.027347,0.047645,0.027351,0.04787,0.027127,0.047732,0.027262,0.047679,0.02732,0.047785,0.027208,0.047604,0.027395,0.047656,0.027343,0.047776,0.027222
200000,0.045892,0.029107,0.04592,0.029076,0.04591,0.029089,0.04587,0.029127,0.045842,0.029157,0.045905,0.02909,0.045978,0.029021,0.045823,0.029176,0.045878,0.029116,0.045799,0.029196,0.045926,0.02907,0.045808,0.029191,0.045788,0.029209,0.045789,0.02921,0.04579,0.029208,0.046031,0.028965,0.045932,0.029066,0.045861,0.029137,0.04594,0.029059,0.046032,0.028965,0.045897,0.029102,0.046063,0.028935,0.045947,0.029051,0.04601,0.028987,0.046003,0.028995,0.045787,0.02921,0.046085,0.028914,0.045912,0.029087,0.045721,0.029276,0.045976,0.029022,0.045869,0.02913,0.045872,0.029124,0.046009,0.028985,0.04585,0.029149,0.045753,0.029243,0.045667,0.029332,0.045649,0.029349,0.045993,0.029006,0.045794,0.029205,0.045704,0.029295,0.046025,0.028972,0.045965,0.029031,0.04597,0.029028,0.045748,0.02925,0.04581,0.029187,0.045855,0.029144,0.045874,0.029122,0.045891,0.029108,0.045926,0.029073,0.045837,0.029162,0.045889,0.02911,0.045877,0.029118,0.045945,0.029054,0.045796,0.029203,0.045777,0.029221,0.045924,0.029075,0.045776,0.029223,0.045971,0.029028,0.045773,0.029226,0.045902,0.029095,0.046083,0.028916,0.045956,0.029043,0.04593,0.029069,0.045845,0.029154,0.045927,0.029072,0.045911,0.029088,0.045834,0.029163,0.045891,0.029108,0.045867,0.029132,0.045868,0.029131,0.045817,0.02918,0.045866,0.02913,0.045859,0.02914,0.045875,0.029124,0.045674,0.029322,0.045799,0.0292,0.04586,0.029139,0.045818,0.029181,0.045865,0.029134,0.045895,0.029104,0.045905,0.029088,0.045872,0.029125,0.045808,0.029191,0.045709,0.029289,0.046002,0.028997,0.04595,0.029049,0.045913,0.029084,0.045883,0.029109,0.045765,0.029233,0.045843,0.029156,0.045818,0.029179,0.045763,0.029236,0.045828,0.029169,0.045901,0.029096,0.046028,0.028971,0.04582,0.029179,0.045969,0.02903,0.045703,0.029296,0.045691,0.029308,0.045954,0.029036
300000,0.044428,0.030568,0.044459,0.03054,0.044195,0.030804,0.04433,0.030669,0.044271,0.030728,0.044369,0.03063,0.044477,0.03052,0.044372,0.030625,0.044446,0.030553,0.044334,0.030665,0.044334,0.030663,0.044301,0.030697,0.044275,0.030724,0.044317,0.030677,0.044217,0.030782,0.044411,0.030588,0.044351,0.030648,0.044392,0.030607,0.044328,0.030671,0.044479,0.030516,0.044402,0.030597,0.044443,0.030555,0.044451,0.030548,0.044511,0.030485,0.044476,0.030523,0.04427,0.030728,0.044543,0.030456,0.044251,0.030748,0.044268,0.030728,0.044556,0.030441,0.044518,0.03048,0.044433,0.030565,0.044412,0.030585,0.044251,0.030747,0.044371,0.030628,0.044165,0.030833,0.043946,0.031053,0.0445,0.030499,0.044382,0.030616,0.044161,0.030837,0.044454,0.030544,0.044298,0.0307,0.04423,0.030762,0.04428,0.030719,0.044248,0.03075,0.044338,0.03066,0.04445,0.030546,0.044353,0.030645,0.044519,0.03048,0.044291,0.030704,0.044454,0.030542,0.044337,0.030661,0.044467,0.030532,0.04415,0.030849,0.0443,0.030695,0.044366,0.030633,0.044404,0.030595,0.044384,0.030615,0.044192,0.030807,0.044405,0.030594,0.044509,0.030486,0.044488,0.030511,0.044327,0.030672,0.044384,0.030611,0.044355,0.030644,0.044288,0.030711,0.04432,0.030676,0.044404,0.030595,0.04443,0.030569,0.044236,0.030763,0.044275,0.030724,0.04426,0.030739,0.044273,0.030726,0.044278,0.03072,0.044228,0.030771,0.044359,0.03064,0.044227,0.030772,0.044433,0.030566,0.04433,0.030668,0.044292,0.030703,0.044362,0.030632,0.044404,0.030593,0.044235,0.030764,0.04417,0.030829,0.044462,0.030537,0.044453,0.030545,0.044384,0.030614,0.04426,0.030735,0.044412,0.030587,0.044305,0.030693,0.044235,0.030763,0.04434,0.030658,0.0443,0.030698,0.044555,0.030444,0.04454,0.030459,0.044465,0.030534,0.044445,0.030552,0.044308,0.030691,0.044181,0.030818,0.044362,0.030634
400000,0.043175,0.031824,0.043117,0.031882,0.04308,0.031918,0.042912,0.032078,0.042844,0.032154,0.043153,0.031844,0.043097,0.031901,0.043123,0.031875,0.043158,0.031838,0.043086,0.031913,0.043024,0.031974,0.042874,0.032125,0.043034,0.031965,0.042973,0.032026,0.04298,0.032018,0.043074,0.031925,0.04301,0.031989,0.043201,0.031798,0.043069,0.03193,0.043293,0.031704,0.043106,0.031892,0.043187,0.031812,0.043204,0.031795,0.043476,0.031523,0.043221,0.031777,0.043164,0.031834,0.043324,0.031673,0.043098,0.0319,0.043084,0.031914,0.043346,0.031652,0.043223,0.031774,0.043004,0.031995,0.043052,0.031947,0.043012,0.031987,0.043108,0.031884,0.043076,0.031923,0.042808,0.032186,0.043216,0.031779,0.043043,0.031955,0.042934,0.032065,0.043167,0.031832,0.042958,0.032041,0.042989,0.03201,0.043134,0.031865,0.043047,0.031951,0.043148,0.03185,0.043136,0.03186,0.04311,0.031884,0.043273,0.031726,0.043124,0.031875,0.043297,0.031702,0.043106,0.031889,0.043364,0.031632,0.0429,0.032099,0.043065,0.031933,0.043271,0.031728,0.043138,0.03186,0.043215,0.031783,0.042933,0.032066,0.043148,0.03185,0.043184,0.031815,0.043297,0.0317,0.043114,0.031882,0.043026,0.031973,0.043017,0.031981,0.042929,0.03207,0.043099,0.0319,0.043257,0.031742,0.043211,0.031785,0.043014,0.031985,0.042983,0.032013,0.043082,0.031917,0.043005,0.031991,0.043065,0.031933,0.042996,0.032003,0.043225,0.031774,0.042953,0.032046,0.043246,0.031752,0.043144,0.03185,0.043066,0.031931,0.043068,0.031931,0.0434,0.031597,0.042977,0.032022,0.042935,0.032064,0.043104,0.031895,0.043106,0.031892,0.043134,0.031864,0.04317,0.031829,0.043265,0.031734,0.043115,0.031883,0.043052,0.031947,0.043043,0.031953,0.043049,0.031943,0.043261,0.031736,0.043149,0.031848,0.043286,0.031713,0.043157,0.031842,0.043089,0.031908,0.043091,0.031908,0.043057,0.031936
500000,0.04214,0.032859,0.042003,0.032996,0.042087,0.032912,0.041861,0.033137,0.041833,0.033164,0.042133,0.032865,0.042078,0.032921,0.042038,0.03296,0.042055,0.032943,0.042001,0.032996,0.042069,0.032928,0.041848,0.033149,0.042056,0.032943,0.042049,0.03295,0.042031,0.032967,0.04226,0.032738,0.04195,0.033044,0.042237,0.032762,0.042128,0.032871,0.042217,0.032781,0.042085,0.032914,0.04211,0.032889,0.042311,0.032687,0.042491,0.032508,0.042199,0.032797,0.042145,0.032854,0.042229,0.032767,0.042017,0.032981,0.042162,0.032837,0.042352,0.032647,0.042286,0.032711,0.042056,0.032943,0.042033,0.032964,0.04199,0.033009,0.041909,0.03309,0.042039,0.03296,0.041776,0.033218,0.04218,0.032811,0.042201,0.032797,0.041931,0.033068,0.04224,0.032757,0.041955,0.033044,0.042054,0.032945,0.042083,0.032915,0.042124,0.032875,0.042091,0.032908,0.04205,0.032948,0.042083,0.032911,0.042306,0.032693,0.042162,0.032836,0.042213,0.032786,0.042189,0.032808,0.042288,0.032711,0.041759,0.033236,0.04198,0.033019,0.042294,0.032705,0.04229,0.032709,0.042303,0.032696,0.041976,0.033022,0.042184,0.032814,0.042156,0.032843,0.042242,0.032757,0.042021,0.032976,0.042004,0.032995,0.04207,0.032928,0.041986,0.03301,0.041957,0.033042,0.042213,0.032786,0.042221,0.032778,0.042015,0.032984,0.041894,0.033102,0.042034,0.03296,0.041973,0.033026,0.041898,0.033101,0.041814,0.033184,0.04216,0.032835,0.041883,0.033109,0.042128,0.032871,0.042213,0.032785,0.042068,0.032931,0.042183,0.032816,0.042296,0.032703,0.041967,0.033032,0.041993,0.033005,0.042076,0.032922,0.042251,0.032744,0.042044,0.032955,0.042053,0.032946,0.042388,0.03261,0.042071,0.032924,0.041909,0.033087,0.042133,0.032866,0.042032,0.032966,0.042293,0.032706,0.041953,0.033046,0.042107,0.032892,0.042062,0.032936,0.041973,0.033026,0.042184,0.032815,0.041941,0.033058
600000,0.041419,0.033578,0.04125,0.033748,0.041267,0.033732,0.041146,0.033853,0.041074,0.033923,0.041152,0.033847,0.04117,0.033828,0.041285,0.033709,0.041301,0.033698,0.041185,0.033813,0.041245,0.033752,0.041122,0.033876,0.041223,0.033774,0.04132,0.033676,0.041255,0.033742,0.041351,0.033648,0.041317,0.03368,0.041413,0.033582,0.041331,0.033668,0.041215,0.033784,0.041302,0.033697,0.041231,0.033768,0.041527,0.033472,0.041576,0.033421,0.041332,0.033666,0.041342,0.033654,0.041363,0.033636,0.041112,0.033887,0.041311,0.033688,0.041517,0.033481,0.041434,0.033564,0.041288,0.033709,0.041184,0.033815,0.041254,0.033745,0.041178,0.033818,0.041282,0.033716,0.040977,0.034022,0.041163,0.033836,0.041555,0.033442,0.041007,0.033988,0.041443,0.033555,0.041296,0.0337,0.041222,0.033776,0.041383,0.033615,0.041421,0.033578,0.041415,0.033584,0.041312,0.033682,0.041264,0.033734,0.041429,0.03357,0.0413,0.033699,0.041364,0.033635,0.041357,0.033642,0.041469,0.033529,0.041054,0.033945,0.041134,0.033865,0.041387,0.033612,0.041424,0.033575,0.041513,0.033483,0.04119,0.033809,0.041427,0.033571,0.041229,0.03377,0.04149,0.033508,0.041258,0.033737,0.041172,0.033827,0.041387,0.03361,0.04109,0.033909,0.041204,0.033794,0.041201,0.033795,0.041323,0.033676,0.041332,0.033667,0.041091,0.033905,0.041333,0.033662,0.041111,0.033887,0.04118,0.033819,0.041107,0.033892,0.0413,0.033698,0.040983,0.034016,0.041272,0.033727,0.041353,0.033644,0.041241,0.033758,0.041303,0.033691,0.041324,0.033675,0.041096,0.033903,0.041108,0.033891,0.041212,0.033787,0.041395,0.033604,0.041059,0.033939,0.041176,0.033823,0.041583,0.033416,0.041271,0.033727,0.041184,0.033814,0.041367,0.033629,0.041221,0.033777,0.041324,0.033672,0.041163,0.033836,0.041356,0.033643,0.04128,0.033719,0.040934,0.034064,0.041238,0.033761,0.041158,0.033839
700000,0.040617,0.034382,0.040465,0.034534,0.040485,0.034513,0.040517,0.034482,0.040328,0.034669,0.040531,0.034467,0.040505,0.034494,0.040587,0.034412,0.040643,0.034353,0.040574,0.034424,0.040431,0.034567,0.040375,0.034624,0.040512,0.034486,0.040589,0.03441,0.040549,0.03445,0.040773,0.034226,0.040576,0.034421,0.040585,0.034414,0.040666,0.034333,0.040513,0.034486,0.040625,0.034374,0.040499,0.0345,0.040923,0.034075,0.04093,0.034067,0.040621,0.034378,0.040686,0.034313,0.04062,0.034377,0.040518,0.034479,0.040714,0.034284,0.040864,0.034135,0.040718,0.034281,0.040633,0.034365,0.040526,0.034473,0.040607,0.034392,0.040531,0.034468,0.040612,0.034386,0.040367,0.034631,0.040567,0.034432,0.04094,0.034055,0.04036,0.034638,0.040725,0.034274,0.040697,0.034299,0.040443,0.034555,0.040777,0.034222,0.04062,0.034378,0.040644,0.034349,0.040617,0.03438,0.040397,0.034602,0.04071,0.034287,0.040689,0.03431,0.040576,0.034423,0.040746,0.034253,0.040799,0.034198,0.040274,0.034725,0.040443,0.034555,0.040752,0.034246,0.040746,0.034253,0.04063,0.034368,0.040556,0.034443,0.040559,0.034438,0.040682,0.034317,0.040736,0.034259,0.040414,0.034584,0.040479,0.03452,0.040518,0.03448,0.040393,0.034606,0.040516,0.034482,0.04056,0.034439,0.040618,0.034379,0.040746,0.034253,0.04046,0.034538,0.040587,0.034411,0.040422,0.034573,0.040659,0.034339,0.040515,0.034481,0.040698,0.034301,0.040367,0.034632,0.040661,0.034336,0.040807,0.034191,0.040425,0.034573,0.040592,0.034407,0.040602,0.034397,0.040333,0.034666,0.04036,0.034638,0.040514,0.034485,0.040566,0.034433,0.040415,0.034584,0.040415,0.034584,0.040755,0.034243,0.040603,0.034394,0.040449,0.03455,0.040769,0.03423,0.040724,0.034273,0.04061,0.034389,0.040518,0.034481,0.040464,0.034533,0.04059,0.034409,0.040387,0.034612,0.040571,0.034428,0.040538,0.034461
800000,0.040071,0.034926,0.039903,0.035093,0.040057,0.034942,0.039878,0.035119,0.039826,0.035172,0.04004,0.034954,0.040118,0.034881,0.03997,0.035029,0.039905,0.035092,0.039939,0.035059,0.039812,0.035186,0.039933,0.035066,0.039834,0.035165,0.039968,0.03503,0.040073,0.034926,0.040257,0.034742,0.039928,0.035067,0.039982,0.035017,0.040271,0.034728,0.039977,0.03502,0.040184,0.034812,0.040061,0.034938,0.040281,0.034717,0.040202,0.034796,0.040078,0.034921,0.040034,0.034964,0.040166,0.034832,0.039935,0.035063,0.040105,0.034892,0.040271,0.034728,0.040031,0.034968,0.040049,0.034949,0.039877,0.035121,0.039915,0.035084,0.040118,0.034881,0.040034,0.034964,0.039905,0.035094,0.039932,0.035065,0.040259,0.03474,0.039937,0.035062,0.040217,0.034779,0.040258,0.034739,0.039992,0.035007,0.040258,0.034741,0.04014,0.034858,0.040084,0.034915,0.039974,0.035024,0.039794,0.035205,0.040069,0.03493,0.040055,0.034942,0.040008,0.03499,0.040133,0.034866,0.04012,0.034877,0.039943,0.035055,0.039829,0.03517,0.040161,0.034838,0.040046,0.034953,0.039896,0.035103,0.040071,0.034925,0.039886,0.035113,0.040143,0.034856,0.040307,0.034692,0.039775,0.035223,0.040023,0.034976,0.040092,0.034906,0.039915,0.035084,0.040043,0.034956,0.040148,0.034845,0.040215,0.034781,0.040299,0.034699,0.040018,0.03498,0.040059,0.034939,0.039827,0.03517,0.040263,0.034736,0.039983,0.035015,0.04,0.034999,0.039815,0.035183,0.040168,0.03483,0.040194,0.034802,0.039844,0.035155,0.040033,0.034966,0.040108,0.034891,0.039886,0.035113,0.039886,0.035113,0.039911,0.035088,0.039987,0.035006,0.03988,0.035119,0.039954,0.035044,0.040202,0.034797,0.040048,0.034946,0.039927,0.035072,0.040228,0.034771,0.040056,0.034943,0.040044,0.034951,0.039876,0.035123,0.039922,0.035075,0.040045,0.034954,0.039859,0.035138,0.039981,0.035017,0.039985,0.035013
900000,0.039535,0.035464,0.039391,0.035608,0.039612,0.035387,0.039523,0.035476,0.039364,0.035635,0.03952,0.035479,0.039617,0.035382,0.039516,0.035482,0.039476,0.035519,0.039695,0.035304,0.039506,0.035492,0.039572,0.035426,0.039324,0.035674,0.039713,0.035285,0.039668,0.03533,0.039737,0.035261,0.039567,0.035432,0.039608,0.035391,0.039663,0.035335,0.039587,0.035412,0.039642,0.035357,0.039483,0.035516,0.039808,0.03519,0.03968,0.035319,0.03952,0.035475,0.039493,0.035506,0.039669,0.035329,0.039613,0.035382,0.039684,0.035315,0.039767,0.035232,0.039645,0.035352,0.039511,0.035488,0.0395,0.035496,0.039563,0.035436,0.039726,0.035272,0.039578,0.035421,0.03944,0.035559,0.039547,0.035452,0.039819,0.035178,0.039502,0.035497,0.039753,0.035246,0.039771,0.035227,0.039469,0.03553,0.039929,0.035069,0.039498,0.035497,0.039627,0.03537,0.039609,0.035389,0.03948,0.035519,0.039703,0.035296,0.03958,0.035417,0.039696,0.035303,0.039729,0.03527,0.039631,0.035368,0.039419,0.035579,0.039272,0.035726,0.039793,0.035206,0.039488,0.035506,0.039452,0.035547,0.039619,0.035375,0.039353,0.035646,0.039682,0.035317,0.039811,0.035188,0.039378,0.03562,0.039609,0.035389,0.039484,0.035513,0.039406,0.035593,0.039741,0.035257,0.039635,0.035364,0.039716,0.035281,0.03987,0.035129,0.03952,0.035479,0.039588,0.03541,0.03928,0.035719,0.039687,0.035312,0.039617,0.035381,0.039498,0.035501,0.039427,0.03557,0.039718,0.035281,0.039619,0.035376,0.039417,0.035581,0.039443,0.035555,0.03962,0.035379,0.039518,0.035478,0.039449,0.03555,0.039342,0.035657,0.039624,0.035375,0.039482,0.035515,0.039335,0.035663,0.039855,0.035142,0.039709,0.035289,0.039414,0.035584,0.039774,0.035223,0.039564,0.035432,0.039664,0.035335,0.039539,0.035458,0.03946,0.035538,0.039649,0.035349,0.03945,0.035549,0.039672,0.035327,0.039254,0.035744
