t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.5,0.25,0.25,0,0,0
100,0.47599,0.27207,0.20392,0.00390704,0.00391057,0.00552788
200,0.45773,0.29061,0.16712,0.00542481,0.00540638,0.00765882
300,0.44233,0.30579,0.13654,0.00604571,0.00600941,0.00852429
400,0.43078,0.31753,0.11325,0.00660801,0.00667717,0.00939417
500,0.41992,0.32826,0.09166,0.00742003,0.0074844,0.0105391
600,0.41102,0.33728,0.07374,0.00692386,0.00682501,0.00972217
700,0.40372,0.34464,0.05908,0.00658565,0.00661931,0.00933734
800,0.39908,0.3493,0.04978,0.00703895,0.00706081,0.00997005
900,0.39472,0.35368,0.04104,0.00836067,0.00831918,0.0117945
1000,0.39207,0.35638,0.03569,0.00795,0.00786752,0.0111848
1100,0.38889,0.3595,0.02939,0.00803735,0.00806753,0.0113879
1200,0.38608,0.36222,0.02386,0.00782284,0.00778561,0.0110369
1300,0.38337,0.36495,0.01842,0.0084662,0.0084329,0.0119495
1400,0.38269,0.36576,0.01693,0.00811215,0.00804122,0.0114223
1500,0.38136,0.36707,0.01429,0.00889861,0.00884379,0.0125458
1600,0.3803,0.36812,0.01218,0.0085361,0.00857979,0.0121028
1700,0.37824,0.37012,0.00812,0.00711837,0.0070868,0.0100446
1800,0.37686,0.37156,0.0053,0.00734848,0.00733643,0.0103838
1900,0.37692,0.37155,0.00537,0.00735505,0.0072735,0.0103441
2000,0.37614,0.37218,0.00396,0.00799564,0.00812427,0.0113989
2100,0.37635,0.37209,0.00426,0.00711574,0.0071064,0.0100566
2200,0.37586,0.37246,0.0034,0.00722705,0.00711437,0.0101412
2300,0.3765,0.3719,0.0046,0.00732769,0.00731198,0.0103518
2400,0.37528,0.37304,0.00224,0.00700077,0.00694976,0.00986458
2500,0.37499,0.37334,0.00165,0.00728388,0.00727408,0.010294
2600,0.37456,0.37386,0.0007,0.00792106,0.00791898,0.0112006
2700,0.37501,0.37324,0.00177,0.00736104,0.00734855,0.0104013
2800,0.37422,0.37407,0.00015,0.00682465,0.00683539,0.00965911
2900,0.37378,0.37449,-0.00071,0.00741726,0.00723152,0.0103591
3000,0.37377,0.37466,-0.00089,0.00752852,0.0076251,0.0107154
3100,0.37452,0.37392,0.0006,0.0074421,0.00750911,0.0105722
3200,0.37432,0.37394,0.00038,0.00817305,0.00797924,0.0114222
3300,0.37414,0.37421,-7e-05,0.00881874,0.00888104,0.0125157
3400,0.3734,0.37497,-0.00157,0.00844097,0.00843176,0.0119308
3500,0.37411,0.37416,-5e-05,0.00842253,0.00836763,0.0118725
3600,0.37493,0.37343,0.0015,0.0074915,0.00749483,0.0105969
3700,0.37541,0.37292,0.00249,0.00780903,0.00780748,0.0110425
3800,0.37511,0.37327,0.00184,0.00778132,0.00776457,0.0109926
3900,0.37359,0.37466,-0.00107,0.00759282,0.00758302,0.0107309
4000,0.37357,0.37495,-0.00138,0.00764346,0.00756332,0.010753
4100,0.37349,0.37475,-0.00126,0.00782144,0.00775717,0.0110158
4200,0.3739,0.37416,-0.00026,0.00728663,0.00739508,0.0103818
4300,0.374,0.37437,-0.00037,0.00714213,0.00723855,0.0101689
4400,0.37485,0.37348,0.00137,0.00761471,0.00763183,0.0107809
4500,0.37452,0.37391,0.00061,0.008207,0.00817991,0.0115873
4600,0.37392,0.37445,-0.00053,0.00757277,0.00759893,0.010728
4700,0.37314,0.37523,-0.00209,0.00749468,0.00743159,0.0105546
4800,0.37318,0.37523,-0.00205,0.00758576,0.0075557,0.0107066
4900,0.37257,0.37589,-0.00332,0.00814202,0.00805661,0.0114543
5000,0.37313,0.3753,-0.00217,0.00764896,0.00762922,0.0108033
5100,0.37204,0.37638,-0.00434,0.00768565,0.00768491,0.0108686
5200,0.37143,0.37692,-0.00549,0.00788813,0.00777797,0.0110779
5300,0.37085,0.37758,-0.00673,0.00776748,0.00763949,0.0108947
5400,0.37205,0.37621,-0.00416,0.00847725,0.00846126,0.0119773
5500,0.37273,0.37555,-0.00282,0.00872173,0.00874493,0.0123508
5600,0.37256,0.37584,-0.00328,0.00849725,0.00848865,0.0120108
5700,0.3731,0.3753,-0.0022,0.00755546,0.00761938,0.0107303
5800,0.37355,0.37488,-0.00133,0.00744471,0.00745069,0.0105326
5900,0.37217,0.376,-0.00383,0.00688771,0.0071211,0.0099071
6000,0.37299,0.37539,-0.0024,0.00674648,0.00675122,0.00954431
6100,0.37226,0.37597,-0.00371,0.00756216,0.00751895,0.010664
6200,0.37226,0.37604,-0.00378,0.00871127,0.00859937,0.0122407
6300,0.3716,0.37684,-0.00524,0.00875614,0.00870788,0.012349
6400,0.37275,0.37578,-0.00303,0.00752554,0.00749639,0.0106221
6500,0.3722,0.37614,-0.00394,0.00754056,0.00750601,0.0106396
6600,0.37247,0.37588,-0.00341,0.007831,0.00784683,0.0110859
6700,0.37295,0.37549,-0.00254,0.00735688,0.00739019,0.0104278
6800,0.37409,0.3743,-0.00021,0.00684331,0.00686112,0.00969051
6900,0.37351,0.37475,-0.00124,0.00715856,0.00719331,0.0101483
7000,0.37273,0.37566,-0.00293,0.00771029,0.00772672,0.0109156
7100,0.37216,0.37611,-0.00395,0.00772381,0.00784213,0.0110071
7200,0.37263,0.37581,-0.00318,0.00756482,0.0075774,0.0107072
7300,0.37151,0.37688,-0.00537,0.00710528,0.00710372,0.0100473
7400,0.37099,0.37732,-0.00633,0.00775854,0.00776394,0.0109761
7500,0.37127,0.3769,-0.00563,0.00709215,0.00702958,0.00998567
7600,0.37108,0.37726,-0.00618,0.00746638,0.0074065,0.0105168
7700,0.37245,0.37554,-0.00309,0.00783223,0.00791228,0.0111332
7800,0.37261,0.37574,-0.00313,0.00793656,0.00795589,0.0112377
7900,0.3731,0.3753,-0.0022,0.00769968,0.00778364,0.0109485
8000,0.37287,0.37547,-0.0026,0.00727094,0.00718711,0.0102236
8100,0.3724,0.37592,-0.00352,0.00741552,0.00742272,0.0104922
8200,0.3733,0.37511,-0.00181,0.00764886,0.00777554,0.0109071
8300,0.37425,0.37405,0.0002,0.00770414,0.00772747,0.0109118
8400,0.37537,0.373,0.00237,0.00804963,0.0080666,0.0113959
8500,0.37562,0.37264,0.00298,0.00852865,0.00848205,0.0120284
8600,0.37511,0.3733,0.00181,0.00803921,0.00814647,0.0114453
8700,0.37496,0.37354,0.00142,0.00808389,0.00802273,0.0113892
8800,0.3751,0.37339,0.00171,0.00789335,0.00789614,0.0111649
8900,0.37484,0.37339,0.00145,0.0082418,0.0081975,0.0116244
9000,0.37424,0.37422,2e-05,0.00742706,0.00756015,0.010598
9100,0.37264,0.37565,-0.00301,0.00744078,0.00736504,0.0104694
9200,0.37333,0.3752,-0.00187,0.00716733,0.00708237,0.0100762
9300,0.37362,0.3747,-0.00108,0.00678585,0.00694514,0.00970993
9400,0.3735,0.37479,-0.00129,0.00724465,0.00712902,0.0101641
9500,0.37476,0.37356,0.0012,0.00698006,0.00698163,0.00987241
