t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
6500,0.25161,0.25181,-0.0002,0.0073184,0.00734894,0.0103714
6600,0.25026,0.25295,-0.00269,0.0074864,0.00746282,0.0105707
6700,0.25077,0.25251,-0.00174,0.00739179,0.00747696,0.010514
6800,0.24974,0.25339,-0.00365,0.00701828,0.00700778,0.00991792
6900,0.24983,0.2534,-0.00357,0.0063585,0.00638514,0.00901113
7000,0.24985,0.25348,-0.00363,0.00608718,0.00612738,0.00863705
7100,0.24966,0.25361,-0.00395,0.00654769,0.00647139,0.00920604
7200,0.24935,0.25377,-0.00442,0.00712276,0.00707945,0.0100425
7300,0.24923,0.254,-0.00477,0.00732383,0.00721318,0.0102795
7400,0.24891,0.25445,-0.00554,0.00767144,0.00773005,0.0108906
7500,0.24933,0.25392,-0.00459,0.00738177,0.0072847,0.010371
7600,0.249,0.25419,-0.00519,0.00758024,0.00750579,0.0106676
7700,0.24969,0.25354,-0.00385,0.00744761,0.00736303,0.0104729
7800,0.25017,0.25315,-0.00298,0.00702215,0.00695153,0.00988101
7900,0.25022,0.253,-0.00278,0.00676209,0.00666708,0.00949609
8000,0.24938,0.25383,-0.00445,0.00655803,0.00642266,0.00917923
8100,0.24983,0.25353,-0.0037,0.00679047,0.00681209,0.00961848
8200,0.24908,0.25412,-0.00504,0.00706872,0.00718142,0.0100767
8300,0.2494,0.25381,-0.00441,0.00636632,0.00641225,0.00903587
8400,0.24849,0.25481,-0.00632,0.00656772,0.00653582,0.00926563
8500,0.24855,0.25481,-0.00626,0.00665009,0.00669903,0.00943932
8600,0.24815,0.25523,-0.00708,0.00605341,0.0060703,0.00857277
8700,0.24884,0.25433,-0.00549,0.00637473,0.00636793,0.00901042
8800,0.24955,0.25378,-0.00423,0.00690751,0.00698254,0.00982189
8900,0.25018,0.25316,-0.00298,0.00678114,0.006708,0.0095384
9000,0.24951,0.25376,-0.00425,0.00645252,0.00643049,0.00910967
9100,0.24967,0.25342,-0.00375,0.0063325,0.00647779,0.00905883
9200,0.25075,0.25242,-0.00167,0.00654933,0.00651627,0.00923881
9300,0.24979,0.25331,-0.00352,0.00700806,0.00710612,0.00998048
9400,0.24917,0.25404,-0.00487,0.00681766,0.0066475,0.00952207
9500,0.24998,0.25306,-0.00308,0.00654827,0.00675486,0.00940787
9600,0.25011,0.25327,-0.00316,0.00729445,0.00740868,0.010397
9700,0.24983,0.25358,-0.00375,0.00640551,0.00637195,0.00903506
9800,0.25039,0.25291,-0.00252,0.00690644,0.00695061,0.00979846
9900,0.2501,0.25321,-0.00311,0.00661702,0.00657213,0.0093262
10000,0.25036,0.25293,-0.00257,0.00658599,0.00664474,0.00935563
