t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.5,0.005,0.495,0,2.45327e-18,2.45327e-18
100,0.45274,0.01779,0.43495,0.00342143,0.0128278,0.0132763
200,0.41322,0.05428,0.35894,0.00518901,0.0274412,0.0279275
300,0.38146,0.09293,0.28853,0.00697884,0.0334524,0.0341726
400,0.35595,0.12264,0.23331,0.00854247,0.035504,0.0365172
500,0.33503,0.15642,0.17861,0.0103723,0.0285831,0.0304068
600,0.31878,0.18185,0.13693,0.00997125,0.0158333,0.0187115
700,0.30668,0.19378,0.1129,0.0100169,0.0162544,0.0190931
800,0.29643,0.20671,0.08972,0.010109,0.0101298,0.014311
900,0.28833,0.21482,0.07351,0.00943136,0.00949967,0.0133863
1000,0.28114,0.22205,0.05909,0.00838571,0.00833929,0.0118264
1100,0.27601,0.22735,0.04866,0.0075667,0.00759696,0.0107223
1200,0.27126,0.23203,0.03923,0.00726403,0.00727424,0.0102801
1300,0.26778,0.2354,0.03238,0.0073706,0.00722772,0.0103231
1400,0.26451,0.23881,0.0257,0.00716693,0.00717544,0.0101416
1500,0.26198,0.24119,0.02079,0.00730478,0.00737678,0.0103816
1600,0.2597,0.24355,0.01615,0.0066742,0.00672635,0.00947569
1700,0.25781,0.24536,0.01245,0.00709979,0.00693651,0.00992583
1800,0.25673,0.24656,0.01017,0.00661124,0.00662972,0.00936279
1900,0.25562,0.24779,0.00783,0.00606365,0.00614841,0.00863544
2000,0.25433,0.24889,0.00544,0.0064351,0.00637252,0.00905646
2100,0.25372,0.24952,0.0042,0.00733149,0.00717877,0.0102609
2200,0.25206,0.25122,0.00084,0.00750388,0.00743544,0.0105638
2300,0.25078,0.25224,-0.00146,0.0073611,0.00722019,0.010311
2400,0.25103,0.2523,-0.00127,0.00743939,0.00754752,0.0105976
2500,0.25163,0.25164,-1e-05,0.00779337,0.00793695,0.0111235
2600,0.25163,0.25194,-0.00031,0.00746837,0.0075464,0.0106172
2700,0.25094,0.2524,-0.00146,0.00731766,0.00730137,0.0103372
2800,0.25032,0.25287,-0.00255,0.00706037,0.00700261,0.00994411
2900,0.2513,0.25201,-0.00071,0.00748031,0.00744278,0.0105522
3000,0.25135,0.252,-0.00065,0.00687705,0.00678896,0.00966353
3100,0.25156,0.25177,-0.00021,0.00657672,0.00655504,0.00928557
3200,0.25176,0.25132,0.00044,0.00655219,0.00648528,0.009219
3300,0.25109,0.2521,-0.00101,0.00715618,0.00707637,0.0100641
3400,0.25109,0.25223,-0.00114,0.00734513,0.00737283,0.0104072
3500,0.25025,0.25287,-0.00262,0.00697451,0.00690772,0.00981633
3600,0.25071,0.25259,-0.00188,0.00713673,0.00711906,0.0100804
3700,0.25098,0.25241,-0.00143,0.00703774,0.00697359,0.00990761
3800,0.24948,0.25351,-0.00403,0.00760755,0.00765081,0.0107893
3900,0.2496,0.25388,-0.00428,0.00756307,0.00757976,0.0107076
4000,0.2494,0.25397,-0.00457,0.00666183,0.00657682,0.00936133
4100,0.24914,0.2541,-0.00496,0.00651231,0.00655934,0.00924312
4200,0.24901,0.25412,-0.00511,0.00657989,0.00674113,0.00942007
4300,0.25017,0.25327,-0.0031,0.00633645,0.00637405,0.00898772
4400,0.25014,0.25304,-0.0029,0.00658636,0.00659463,0.00932038
4500,0.24991,0.25339,-0.00348,0.00648775,0.00651682,0.00919565
4600,0.24937,0.25401,-0.00464,0.00678871,0.00683264,0.0096318
4700,0.24943,0.25378,-0.00435,0.00653701,0.00650737,0.00922379
4800,0.24984,0.25351,-0.00367,0.00697404,0.00697889,0.00986621
4900,0.25036,0.25286,-0.0025,0.00652497,0.00653607,0.00923555
5000,0.25043,0.25284,-0.00241,0.0066845,0.00681302,0.00954462
5100,0.25092,0.25247,-0.00155,0.00642626,0.00649958,0.0091401
5200,0.25079,0.25245,-0.00166,0.00677222,0.00676415,0.00957166
5300,0.25042,0.25252,-0.0021,0.00655453,0.00652417,0.00924806
5400,0.25076,0.25239,-0.00163,0.00635855,0.00633869,0.00897832
5500,0.25125,0.25188,-0.00063,0.00654857,0.00655765,0.0092675
5600,0.25004,0.25327,-0.00323,0.00723251,0.00727108,0.0102556
5700,0.25027,0.25309,-0.00282,0.00664669,0.0067306,0.00945936
5800,0.25021,0.25313,-0.00292,0.0067248,0.00684811,0.00959789
5900,0.25039,0.25278,-0.00239,0.00711259,0.00715722,0.0100903
6000,0.25049,0.25284,-0.00235,0.00688803,0.00693666,0.00977559
6100,0.25042,0.25265,-0.00223,0.00728573,0.00730437,0.0103168
6200,0.25145,0.25187,-0.00042,0.0075282,0.00760569,0.0107014
6300,0.25115,0.25206,-0.00091,0.00731941,0.00729028,0.0103306
6400,0.25159,0.25183,-0.00024,0.00732605,0.00732738,0.0103615
