t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
8.3e+06,0.374891,0.375107,-0.00021635,0.00184844,0.00184861,0.00261421
8.4e+06,0.374892,0.375106,-0.00021341,0.00179153,0.00179202,0.00253395
8.5e+06,0.374906,0.375092,-0.00018596,0.00179855,0.00179664,0.00254218
8.6e+06,0.3749,0.375098,-0.00019836,0.00177943,0.00177901,0.0025162
8.7e+06,0.374941,0.375057,-0.00011557,0.00171509,0.00171587,0.00242605
8.8e+06,0.374952,0.375047,-9.497e-05,0.00156227,0.00156262,0.00220964
8.9e+06,0.374998,0.375001,-2.62e-06,0.00175814,0.00175784,0.00248618
9e+06,0.374982,0.375017,-3.52e-05,0.00187947,0.001879,0.00265764
9.1e+06,0.374949,0.375049,-9.986e-05,0.00199652,0.001995,0.00282243
9.2e+06,0.374946,0.375052,-0.00010568,0.00206617,0.00206602,0.0029219
9.3e+06,0.374933,0.375066,-0.00013268,0.00223868,0.00223905,0.00316623
9.4e+06,0.374935,0.375063,-0.00012787,0.00210257,0.00210243,0.00297339
9.5e+06,0.374967,0.375031,-6.449e-05,0.00195126,0.0019507,0.0027591
9.6e+06,0.374968,0.375031,-6.327e-05,0.00175193,0.00175228,0.00247785
9.7e+06,0.374948,0.37505,-0.00010235,0.00175963,0.0017606,0.00248918
9.8e+06,0.374918,0.37508,-0.00016209,0.00180169,0.00180223,0.00254836
9.9e+06,0.37495,0.375049,-9.918e-05,0.0019938,0.00199373,0.00281961
1e+07,0.374963,0.375035,-7.155e-05,0.00203475,0.00203556,0.00287814
