t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.5,0.25,0.25,0,0,0
100000,0.477342,0.272656,0.204686,0.00107027,0.00107022,0.00151355
200000,0.458788,0.29121,0.167579,0.00137886,0.00137853,0.00194976
300000,0.443621,0.306377,0.137244,0.00165721,0.00165752,0.00234387
400000,0.431178,0.31882,0.112358,0.00187839,0.00187935,0.00265712
500000,0.420968,0.32903,0.0919378,0.00191935,0.00191895,0.00271408
600000,0.412618,0.337381,0.0752367,0.00179554,0.00179638,0.00253988
700000,0.405837,0.344161,0.0616764,0.00161638,0.00161568,0.00228541
800000,0.400242,0.349757,0.0504853,0.00169233,0.00169178,0.00239293
900000,0.395645,0.354353,0.0412921,0.00178824,0.00178862,0.00252922
1e+06,0.39193,0.358069,0.033861,0.00184728,0.00184678,0.0026121
1.1e+06,0.388892,0.361106,0.0277865,0.0018484,0.0018476,0.00261346
1.2e+06,0.386392,0.363606,0.0227854,0.00195281,0.00195306,0.00276187
1.3e+06,0.384319,0.36568,0.018639,0.00205905,0.00205912,0.00291199
1.4e+06,0.382627,0.367372,0.0152554,0.00191611,0.00191619,0.00270984
1.5e+06,0.381248,0.36875,0.0124983,0.00191402,0.00191391,0.00270676
1.6e+06,0.380102,0.369896,0.0102054,0.00179246,0.00179209,0.00253466
1.7e+06,0.379168,0.37083,0.00833828,0.00186713,0.0018664,0.00264
1.8e+06,0.378381,0.371617,0.00676439,0.00177412,0.00177337,0.00250846
1.9e+06,0.377794,0.372204,0.00559042,0.00176781,0.00176791,0.00250013
2e+06,0.377293,0.372706,0.00458716,0.0017287,0.00172893,0.00244492
2.1e+06,0.376883,0.373116,0.00376675,0.00194997,0.00194905,0.00275703
2.2e+06,0.376514,0.373485,0.00302913,0.00192243,0.00192169,0.0027182
2.3e+06,0.376255,0.373743,0.00251153,0.00190077,0.00190135,0.0026885
2.4e+06,0.376044,0.373955,0.00208891,0.00201105,0.00201114,0.00284411
2.5e+06,0.375834,0.374164,0.00166969,0.00187445,0.00187491,0.0026512
2.6e+06,0.375694,0.374305,0.00138903,0.00187163,0.00187118,0.00264657
2.7e+06,0.375589,0.37441,0.00117896,0.00216292,0.00216386,0.0030595
2.8e+06,0.375472,0.374527,0.00094516,0.00207789,0.00207831,0.00293888
2.9e+06,0.375395,0.374603,0.00079167,0.00196718,0.00196841,0.00278288
3e+06,0.37529,0.374709,0.00058121,0.00185249,0.00185208,0.00261953
3.1e+06,0.375243,0.374756,0.00048711,0.00164586,0.00164537,0.00232725
3.2e+06,0.375223,0.374776,0.000447,0.0015008,0.0015003,0.0021221
3.3e+06,0.375214,0.374785,0.00042908,0.00163671,0.00163778,0.00231542
3.4e+06,0.375172,0.374827,0.00034505,0.00166084,0.00166091,0.00234883
3.5e+06,0.375135,0.374863,0.00027182,0.0017301,0.00173046,0.00244698
3.6e+06,0.375105,0.374893,0.00021178,0.00172951,0.00172898,0.00244552
3.7e+06,0.375099,0.3749,0.00019912,0.00177657,0.00177779,0.00251331
3.8e+06,0.375078,0.37492,0.00015826,0.00190421,0.00190544,0.00269383
3.9e+06,0.375078,0.37492,0.00015777,0.00185737,0.00185765,0.00262692
4e+06,0.375053,0.374946,0.00010725,0.00176614,0.00176706,0.00249835
4.1e+06,0.375021,0.374977,4.443e-05,0.0017447,0.00174419,0.00246702
4.2e+06,0.374983,0.375016,-3.272e-05,0.00176426,0.00176501,0.00249557
4.3e+06,0.375001,0.374997,3.71e-06,0.00184655,0.00184585,0.00261092
4.4e+06,0.374985,0.375013,-2.736e-05,0.00185778,0.00185804,0.00262748
4.5e+06,0.374958,0.375041,-8.285e-05,0.00181164,0.00181276,0.00256284
4.6e+06,0.374967,0.375031,-6.429e-05,0.00184053,0.00184173,0.00260375
4.7e+06,0.374945,0.375054,-0.00010911,0.00177855,0.00177845,0.00251518
4.8e+06,0.374925,0.375073,-0.00014799,0.00179485,0.00179435,0.00253795
4.9e+06,0.374937,0.375062,-0.00012518,0.0017872,0.00178647,0.00252696
5e+06,0.374955,0.375043,-8.786e-05,0.00191814,0.00191814,0.00271266
5.1e+06,0.374981,0.375018,-3.682e-05,0.00186054,0.00186111,0.0026316
5.2e+06,0.374994,0.375004,-1.009e-05,0.00189964,0.00189924,0.00268621
5.3e+06,0.374968,0.37503,-6.225e-05,0.0018584,0.00185872,0.0026284
5.4e+06,0.374951,0.375048,-9.69e-05,0.00177793,0.00177903,0.00251515
5.5e+06,0.374968,0.375031,-6.3e-05,0.00190321,0.00190347,0.00269173
5.6e+06,0.374982,0.375016,-3.395e-05,0.00210187,0.00210182,0.00297246
5.7e+06,0.374989,0.37501,-2.102e-05,0.00211179,0.00211218,0.0029868
5.8e+06,0.37496,0.375038,-7.814e-05,0.00203348,0.00203396,0.00287611
5.9e+06,0.374987,0.375012,-2.506e-05,0.00205074,0.00205144,0.00290067
6e+06,0.374991,0.375007,-1.625e-05,0.0021851,0.0021856,0.00309055
6.1e+06,0.374997,0.375001,-3.43e-06,0.00223955,0.00223968,0.00316729
6.2e+06,0.374992,0.375006,-1.409e-05,0.00221272,0.00221303,0.00312948
6.3e+06,0.375023,0.374975,4.796e-05,0.0018404,0.00184048,0.00260277
6.4e+06,0.375041,0.374957,8.35e-05,0.00190841,0.00190813,0.0026987
6.5e+06,0.375009,0.37499,1.874e-05,0.0018929,0.00189338,0.0026773
6.6e+06,0.374995,0.375003,-7.57e-06,0.00190247,0.00190254,0.00269055
6.7e+06,0.37495,0.375048,-9.855e-05,0.00176903,0.00176986,0.00250238
6.8e+06,0.374967,0.375032,-6.467e-05,0.00176193,0.00176005,0.00249042
6.9e+06,0.374957,0.375041,-8.377e-05,0.001684,0.00168457,0.00238194
7e+06,0.374963,0.375035,-7.247e-05,0.00181118,0.00181218,0.0025621
7.1e+06,0.374959,0.375039,-8.045e-05,0.00182185,0.00182225,0.00257677
7.2e+06,0.37493,0.375068,-0.00013835,0.00196816,0.00196941,0.00278428
7.3e+06,0.374934,0.375064,-0.00012986,0.00194952,0.0019507,0.00275787
7.4e+06,0.374921,0.375077,-0.00015591,0.0018714,0.00187109,0.00264634
7.5e+06,0.37494,0.375059,-0.00011885,0.00180201,0.00180237,0.00254868
7.6e+06,0.374962,0.375036,-7.394e-05,0.0017557,0.00175652,0.00248351
7.7e+06,0.374957,0.375042,-8.496e-05,0.00176209,0.00176176,0.00249173
7.8e+06,0.374956,0.375042,-8.584e-05,0.00175061,0.00174997,0.00247528
7.9e+06,0.37497,0.375028,-5.768e-05,0.0018965,0.00189661,0.00268213
8e+06,0.374937,0.375061,-0.00012392,0.00167991,0.00167983,0.00237569
8.1e+06,0.374882,0.375117,-0.00023472,0.00175004,0.00174852,0.00247386
8.2e+06,0.374895,0.375104,-0.00020866,0.00174921,0.00174914,0.0024737
