t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.05,0.025,0.025,6.86915e-17,3.43458e-17,7.67995e-17
100,0.04725,0.02562,0.02163,0.00161051,0.00151914,0.00221394
200,0.04531,0.02772,0.01759,0.00219019,0.00192115,0.00291337
300,0.04347,0.02958,0.01389,0.00262765,0.00262903,0.00371704
400,0.04222,0.03097,0.01125,0.00254279,0.0027248,0.00372698
500,0.04087,0.03193,0.00894,0.00282074,0.00309718,0.00418916
600,0.04008,0.03317,0.00691,0.00287694,0.00293267,0.00410821
700,0.03879,0.03402,0.00477,0.00281655,0.00276402,0.00394623
800,0.03817,0.03485,0.00332,0.00298003,0.00300562,0.00423253
900,0.03752,0.03557,0.00195,0.00282928,0.00296185,0.00409602
1000,0.03751,0.03557,0.00194,0.00320077,0.00313728,0.00448191
1100,0.03686,0.03619,0.00067,0.00319378,0.0031332,0.00447405
1200,0.03674,0.03639,0.00035,0.00316009,0.00309176,0.00442099
1300,0.03667,0.03655,0.00012,0.00291728,0.00302717,0.00420408
1400,0.03678,0.03626,0.00052,0.00288545,0.00288378,0.00407946
1500,0.03668,0.03634,0.00034,0.00258627,0.00284819,0.00384721
1600,0.03621,0.03663,-0.00042,0.00294838,0.00299942,0.00420589
1700,0.0364,0.03649,-9e-05,0.00288444,0.00280267,0.00402181
1800,0.03656,0.03638,0.00018,0.00293142,0.00298962,0.004187
1900,0.03639,0.03667,-0.00028,0.00310628,0.00311938,0.00440222
2000,0.03608,0.03722,-0.00114,0.00306705,0.0031122,0.00436951
2100,0.03582,0.03708,-0.00126,0.00294683,0.00304086,0.00423445
2200,0.03564,0.03751,-0.00187,0.00298248,0.00301081,0.00423794
2300,0.03515,0.03791,-0.00276,0.00287815,0.00301346,0.0041671
2400,0.03486,0.03793,-0.00307,0.00295638,0.00294662,0.00417406
2500,0.03534,0.03767,-0.00233,0.00302856,0.00289146,0.00418721
2600,0.03586,0.03714,-0.00128,0.00284433,0.00265145,0.0038885
2700,0.03557,0.03746,-0.00189,0.00268003,0.00267099,0.00378375
2800,0.03559,0.03735,-0.00176,0.00269462,0.00256783,0.00372219
2900,0.03558,0.03746,-0.00188,0.00248833,0.00263898,0.00362712
3000,0.03559,0.03742,-0.00183,0.0025497,0.00251432,0.00358089
3100,0.03542,0.03739,-0.00197,0.00278421,0.00273842,0.00390522
3200,0.03544,0.03757,-0.00213,0.00291945,0.00291763,0.00412744
3300,0.03599,0.0373,-0.00131,0.002824,0.00282223,0.00399249
3400,0.03582,0.0373,-0.00148,0.0027265,0.00279911,0.00390753
3500,0.03586,0.03721,-0.00135,0.0030676,0.00297371,0.00427237
3600,0.03587,0.03719,-0.00132,0.00296252,0.00294736,0.00417894
3700,0.03603,0.03711,-0.00108,0.00288523,0.00288772,0.0040821
3800,0.03611,0.03714,-0.00103,0.00258823,0.00258654,0.00365912
3900,0.03603,0.037,-0.00097,0.00244838,0.00249199,0.0034935
4000,0.0357,0.03732,-0.00162,0.002505,0.00239767,0.00346754
4100,0.03531,0.03773,-0.00242,0.00275807,0.00291866,0.00401566
4200,0.03527,0.03789,-0.00262,0.00292721,0.00302638,0.0042104
4300,0.0346,0.03815,-0.00355,0.00289137,0.00287467,0.00407722
4400,0.03452,0.03857,-0.00405,0.00292486,0.00293131,0.00414094
4500,0.03445,0.03848,-0.00403,0.00276835,0.0028991,0.00400856
4600,0.03449,0.03859,-0.0041,0.00303891,0.00302671,0.00428904
