t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
4700,0.03465,0.03852,-0.00387,0.00282555,0.00286789,0.00402598
4800,0.03483,0.03822,-0.00339,0.0026964,0.00271952,0.00382967
4900,0.03498,0.03818,-0.0032,0.00285128,0.00288856,0.00405877
5000,0.03505,0.03799,-0.00294,0.00295698,0.0028434,0.00410228
5100,0.03514,0.03797,-0.00283,0.00277492,0.00288869,0.00400559
5200,0.03545,0.03751,-0.00206,0.00293151,0.00306675,0.00424249
5300,0.03532,0.03763,-0.00231,0.0028651,0.00273798,0.003963
5400,0.03551,0.03751,-0.002,0.00263722,0.0026935,0.0037696
5500,0.03543,0.03765,-0.00222,0.00289526,0.00287467,0.00407999
5600,0.03516,0.03795,-0.00279,0.0030012,0.00295867,0.00421437
5700,0.03525,0.03797,-0.00272,0.00299228,0.00302069,0.00425186
5800,0.0351,0.03795,-0.00285,0.00295381,0.00289547,0.00413627
5900,0.03509,0.03783,-0.00274,0.00313543,0.00327575,0.00453448
6000,0.03512,0.03826,-0.00314,0.00317219,0.00318217,0.00449322
6100,0.03501,0.0379,-0.00289,0.00283283,0.00297237,0.00410609
6200,0.03471,0.03831,-0.0036,0.00302869,0.00301943,0.00427667
6300,0.03489,0.03803,-0.00314,0.00318417,0.0030124,0.00438332
6400,0.03555,0.0375,-0.00195,0.00313109,0.00311207,0.00441461
6500,0.03583,0.03702,-0.00119,0.00321723,0.00300829,0.00440458
6600,0.0357,0.03713,-0.00143,0.0025446,0.0026845,0.00369886
6700,0.03549,0.0375,-0.00201,0.00268979,0.00260864,0.00374699
6800,0.03568,0.03739,-0.00171,0.00253748,0.00255322,0.00359969
6900,0.03588,0.03703,-0.00115,0.0025793,0.00266356,0.00370774
7000,0.03561,0.03731,-0.0017,0.00286163,0.0028943,0.00407012
7100,0.03586,0.03729,-0.00143,0.00301831,0.00306153,0.0042992
7200,0.03551,0.03745,-0.00194,0.00292488,0.00289547,0.00411567
7300,0.03514,0.03777,-0.00263,0.00310164,0.00310943,0.0043919
7400,0.03544,0.0376,-0.00216,0.00302046,0.00290517,0.00419085
7500,0.03523,0.03762,-0.00239,0.00269417,0.00279782,0.00388412
7600,0.03528,0.03772,-0.00244,0.00266286,0.00259631,0.00371909
7700,0.03513,0.0379,-0.00277,0.00280652,0.00277038,0.00394355
7800,0.03527,0.03782,-0.00255,0.00285106,0.00278995,0.00398903
7900,0.03543,0.03777,-0.00234,0.00301704,0.00304771,0.00428848
8000,0.03566,0.03728,-0.00162,0.00282528,0.00287937,0.00403398
8100,0.03597,0.03688,-0.00091,0.00279545,0.00293135,0.0040506
8200,0.03564,0.03739,-0.00175,0.00284345,0.00287905,0.0040465
8300,0.03573,0.03744,-0.00171,0.00287551,0.00291259,0.00409289
8400,0.03583,0.03736,-0.00153,0.00291214,0.00294537,0.00414195
8500,0.03576,0.03759,-0.00183,0.00285853,0.00278944,0.00399401
8600,0.03593,0.03724,-0.00131,0.00321443,0.00316247,0.0045093
8700,0.03573,0.03722,-0.00149,0.00324785,0.00320091,0.00456008
8800,0.03575,0.03716,-0.00141,0.00298056,0.00326147,0.00441825
8900,0.03601,0.03725,-0.00124,0.00299749,0.00297048,0.00422004
9000,0.03589,0.03731,-0.00142,0.00283178,0.00273988,0.00394029
9100,0.03602,0.03711,-0.00109,0.00293254,0.00288599,0.00411446
9200,0.03616,0.03692,-0.00076,0.00313962,0.00316019,0.00445466
9300,0.03622,0.03703,-0.00081,0.00328722,0.00325032,0.00462281
9400,0.03619,0.03685,-0.00066,0.00293206,0.00301558,0.00420603
9500,0.03641,0.03659,-0.00018,0.00299014,0.00300349,0.00423815
9600,0.03678,0.03627,0.00051,0.00318682,0.00316205,0.00448936
9700,0.03691,0.03624,0.00067,0.0030661,0.00320175,0.00443307
9800,0.03654,0.03658,-4e-05,0.00327326,0.00315148,0.00454379
9900,0.03613,0.03716,-0.00103,0.00315064,0.00308985,0.00441291
10000,0.03607,0.03698,-0.00091,0.00315159,0.00303312,0.00437405
