t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.5,0.025,0.475,0,3.43458e-16,3.43458e-16
100000,0.456938,0.0680562,0.388882,0.000817601,0.000817209,0.00115599
200000,0.421699,0.103297,0.318402,0.0010842,0.00108414,0.00153325
300000,0.392808,0.13219,0.260618,0.00146947,0.00147421,0.00208149
400000,0.369177,0.15582,0.213358,0.00157472,0.00157512,0.00222727
500000,0.349814,0.175183,0.174631,0.00161737,0.00161852,0.00228812
600000,0.333971,0.191027,0.142943,0.0018639,0.00186342,0.00263561
700000,0.321025,0.203973,0.117052,0.00168253,0.00168175,0.0023789
800000,0.310436,0.214562,0.0958735,0.00181504,0.00181483,0.0025667
900000,0.301743,0.223256,0.0784869,0.00171939,0.00172006,0.00243206
1e+06,0.294619,0.23038,0.0642393,0.00164754,0.00164731,0.00232981
1.1e+06,0.288819,0.236179,0.0526402,0.00174892,0.00174889,0.00247332
1.2e+06,0.284044,0.240954,0.0430894,0.00169716,0.00169684,0.00239992
1.3e+06,0.28013,0.244868,0.0352617,0.00160351,0.00160549,0.0022691
1.4e+06,0.276917,0.248081,0.0288356,0.00162875,0.00162778,0.00230271
1.5e+06,0.27429,0.250709,0.023581,0.00164794,0.00164802,0.00233059
1.6e+06,0.272176,0.252822,0.0193546,0.00179783,0.00179763,0.00254238
1.7e+06,0.270454,0.254544,0.0159106,0.0017114,0.00171136,0.00242025
1.8e+06,0.269,0.255998,0.0130017,0.00167459,0.00167563,0.00236897
1.9e+06,0.267804,0.257194,0.0106097,0.00172016,0.00172128,0.00243347
2e+06,0.266821,0.258177,0.00864385,0.00203667,0.00203719,0.00288066
2.1e+06,0.266033,0.258965,0.00706842,0.00188291,0.00188082,0.00266136
2.2e+06,0.265417,0.259581,0.00583666,0.00180714,0.00180556,0.00255457
2.3e+06,0.264897,0.260101,0.00479636,0.00192554,0.00192586,0.00272336
2.4e+06,0.264463,0.260535,0.0039287,0.00176593,0.00176533,0.00249698
2.5e+06,0.264143,0.260856,0.00328716,0.00199429,0.00199358,0.00281985
2.6e+06,0.263835,0.261163,0.0026714,0.00193247,0.00193339,0.00273358
2.7e+06,0.263604,0.261394,0.0022102,0.00188142,0.00188282,0.00266172
2.8e+06,0.263425,0.261573,0.00185161,0.00180508,0.0018049,0.00255265
2.9e+06,0.263261,0.261737,0.00152416,0.00185761,0.00185812,0.00262742
3e+06,0.263121,0.261878,0.00124317,0.00187696,0.00187719,0.00265458
3.1e+06,0.262993,0.262006,0.00098734,0.00182695,0.0018254,0.0025826
3.2e+06,0.262947,0.262051,0.00089677,0.00171045,0.00171048,0.00241897
3.3e+06,0.262848,0.26215,0.00069804,0.00157313,0.00157363,0.0022251
3.4e+06,0.262778,0.26222,0.00055755,0.00145211,0.00145207,0.00205357
3.5e+06,0.262732,0.262266,0.00046558,0.00161596,0.00161544,0.00228494
3.6e+06,0.2627,0.262298,0.00040232,0.00174047,0.0017416,0.0024622
3.7e+06,0.26268,0.262318,0.00036238,0.00167712,0.00167669,0.0023715
3.8e+06,0.262635,0.262363,0.00027233,0.00164555,0.00164601,0.00232748
3.9e+06,0.262616,0.262382,0.00023443,0.00163581,0.00163597,0.00231349
4e+06,0.262591,0.262407,0.00018384,0.00162327,0.00162228,0.00229495
4.1e+06,0.262568,0.262431,0.00013679,0.00178156,0.00178108,0.00251917
4.2e+06,0.262551,0.262447,0.00010408,0.00182196,0.00182206,0.00257671
4.3e+06,0.26254,0.262459,8.104e-05,0.0017741,0.00177405,0.00250892
4.4e+06,0.262485,0.262513,-2.792e-05,0.00164383,0.00164267,0.00232391
4.5e+06,0.262496,0.262502,-5.31e-06,0.00159981,0.00160114,0.00226342
4.6e+06,0.262461,0.262537,-7.574e-05,0.00163557,0.00163544,0.00231295
4.7e+06,0.262437,0.262561,-0.00012348,0.00165654,0.00165611,0.0023424
4.8e+06,0.262441,0.262557,-0.00011564,0.00148205,0.00148286,0.00209651
4.9e+06,0.262457,0.262541,-8.402e-05,0.00144273,0.00144297,0.0020405
5e+06,0.262453,0.262546,-9.33e-05,0.0016192,0.00161864,0.0022895
5.1e+06,0.262446,0.262552,-0.00010644,0.00180058,0.00180128,0.0025469
5.2e+06,0.262452,0.262546,-9.39e-05,0.00197365,0.00197482,0.00279199
5.3e+06,0.262451,0.262548,-9.707e-05,0.00178042,0.00178021,0.00251775
5.4e+06,0.262478,0.262521,-4.305e-05,0.00172444,0.00172458,0.00243883
5.5e+06,0.262465,0.262534,-6.914e-05,0.00177374,0.00177349,0.00250827
