t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
5.6e+06,0.262478,0.262521,-4.325e-05,0.00173702,0.00173774,0.00245703
5.7e+06,0.262496,0.262502,-6.77e-06,0.00182764,0.00182866,0.0025854
5.8e+06,0.262502,0.262496,5.17e-06,0.00191348,0.00191343,0.00270603
5.9e+06,0.262488,0.26251,-2.181e-05,0.00176882,0.00176914,0.00250172
6e+06,0.262509,0.262489,2.075e-05,0.00170107,0.00170258,0.00240674
6.1e+06,0.262524,0.262474,5.032e-05,0.00179431,0.00179448,0.00253766
6.2e+06,0.262524,0.262474,4.996e-05,0.00165462,0.00165421,0.00233969
6.3e+06,0.262538,0.262461,7.703e-05,0.00162972,0.00163013,0.00230506
6.4e+06,0.262537,0.262461,7.615e-05,0.00172196,0.00172277,0.0024358
6.5e+06,0.262539,0.262459,8.039e-05,0.00151048,0.00151131,0.00213673
6.6e+06,0.262508,0.26249,1.8e-05,0.00164363,0.00164484,0.0023253
6.7e+06,0.262521,0.262478,4.313e-05,0.00160374,0.00160458,0.00226862
6.8e+06,0.262503,0.262495,7.99e-06,0.00175476,0.00175497,0.00248175
6.9e+06,0.262498,0.262501,-3.18e-06,0.00161028,0.00161067,0.00227755
7e+06,0.262502,0.262497,5.05e-06,0.00156364,0.00156353,0.00221124
7.1e+06,0.262504,0.262494,9.61e-06,0.00160047,0.00160096,0.00226375
7.2e+06,0.262489,0.26251,-2.105e-05,0.00173117,0.00173243,0.00244914
7.3e+06,0.262512,0.262486,2.552e-05,0.00155818,0.00155919,0.00220431
7.4e+06,0.262488,0.262511,-2.281e-05,0.0015239,0.00152289,0.00215441
7.5e+06,0.262493,0.262506,-1.318e-05,0.001481,0.00148171,0.00209495
7.6e+06,0.262503,0.262495,7.32e-06,0.00142516,0.00142415,0.00201476
7.7e+06,0.262495,0.262503,-7.39e-06,0.0016214,0.00162104,0.00229275
7.8e+06,0.262492,0.262506,-1.36e-05,0.00174667,0.00174706,0.00247044
7.9e+06,0.262489,0.26251,-2.113e-05,0.00180448,0.00180484,0.00255217
8e+06,0.262448,0.262551,-0.00010259,0.00175821,0.00175836,0.00248659
8.1e+06,0.262465,0.262534,-6.876e-05,0.00183753,0.00183896,0.00259967
8.2e+06,0.262475,0.262523,-4.858e-05,0.0018665,0.0018656,0.00263899
8.3e+06,0.262467,0.262531,-6.423e-05,0.00187333,0.00187267,0.00264882
8.4e+06,0.262451,0.262547,-9.527e-05,0.0015313,0.00153111,0.00216545
8.5e+06,0.262455,0.262543,-8.818e-05,0.00172876,0.00172752,0.00244396
8.6e+06,0.262487,0.262511,-2.434e-05,0.00169157,0.00169101,0.00239184
8.7e+06,0.2625,0.262498,2.22e-06,0.00180886,0.0018078,0.00255737
8.8e+06,0.262497,0.262501,-4.92e-06,0.00176717,0.00176687,0.00249894
8.9e+06,0.262513,0.262485,2.787e-05,0.00175461,0.00175415,0.00248107
9e+06,0.262508,0.26249,1.85e-05,0.00187623,0.00187702,0.00265395
9.1e+06,0.262539,0.262459,7.999e-05,0.00164416,0.00164452,0.00232545
9.2e+06,0.262551,0.262447,0.00010419,0.00169926,0.00169901,0.00240294
9.3e+06,0.262537,0.262461,7.576e-05,0.00198054,0.00198164,0.00280168
9.4e+06,0.262531,0.262467,6.337e-05,0.00184534,0.00184467,0.00260924
9.5e+06,0.262537,0.262461,7.69e-05,0.00183056,0.00183001,0.00258842
9.6e+06,0.26254,0.262459,8.129e-05,0.00178211,0.00178222,0.00252036
9.7e+06,0.26252,0.262479,4.102e-05,0.0017704,0.00177093,0.0025041
9.8e+06,0.26254,0.262458,8.235e-05,0.00177233,0.00177228,0.00250642
9.9e+06,0.262498,0.2625,-2.71e-06,0.00163148,0.00163116,0.00230704
1e+07,0.262527,0.262471,5.585e-05,0.00146356,0.00146254,0.00206907
