t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.05,0.0005,0.0495,6.86915e-17,2.29994e-19,6.86919e-17
200,0.04104,0.000945,0.040095,0.00183554,0.00127857,0.00223695
400,0.03393,0.00205,0.03188,0.00211247,0.00280914,0.0035148
600,0.02857,0.004345,0.024225,0.00274819,0.00504596,0.00574581
800,0.02417,0.006215,0.017955,0.00286017,0.00647384,0.00707751
1000,0.02052,0.007955,0.012565,0.00359233,0.00769141,0.00848897
1200,0.01806,0.01058,0.00748,0.00392787,0.00877735,0.00961613
1400,0.01684,0.013375,0.003465,0.00457135,0.00952016,0.0105608
1600,0.01622,0.014655,0.001565,0.0054181,0.00951889,0.0109529
1800,0.01574,0.01559,0.00015,0.00556832,0.00950426,0.0110153
2000,0.01506,0.01718,-0.00212,0.0058539,0.00973749,0.0113616
2200,0.01502,0.01777,-0.00275,0.00608932,0.00962164,0.0113867
2400,0.01496,0.018645,-0.003685,0.006428,0.00957109,0.0115293
2600,0.015,0.01972,-0.00472,0.00638827,0.00951871,0.0114637
2800,0.01512,0.020605,-0.005485,0.00635239,0.00939299,0.0113394
3000,0.01572,0.02289,-0.00717,0.00670454,0.00900258,0.0112248
3200,0.0163,0.02423,-0.00793,0.00671454,0.00862097,0.0109273
3400,0.01631,0.02472,-0.00841,0.00665635,0.0081973,0.0105595
3600,0.017,0.024465,-0.007465,0.00672681,0.00798127,0.0104379
3800,0.01739,0.024045,-0.006655,0.00660144,0.00756292,0.0100388
4000,0.01737,0.024855,-0.007485,0.0064627,0.00736212,0.00979629
4200,0.01761,0.02518,-0.00757,0.00647217,0.00725147,0.00971971
4400,0.01814,0.02462,-0.00648,0.00626021,0.0071104,0.00947354
4600,0.01864,0.025955,-0.007315,0.00625022,0.00701714,0.0093971
4800,0.01881,0.025865,-0.007055,0.00607346,0.00687875,0.00917628
5000,0.019,0.0261,-0.0071,0.00597244,0.00663777,0.00892917
5200,0.01898,0.02604,-0.00706,0.00595313,0.00667714,0.00894561
5400,0.01932,0.02554,-0.00622,0.00580679,0.00655814,0.00875945
5600,0.01999,0.02508,-0.00509,0.00588854,0.00645924,0.00874052
5800,0.02004,0.025715,-0.005675,0.00578699,0.00635635,0.00859607
6000,0.02018,0.02586,-0.00568,0.00582441,0.00637634,0.00863606
6200,0.01984,0.026615,-0.006775,0.00577297,0.00634091,0.00857522
6400,0.01966,0.026855,-0.007195,0.00560109,0.0062226,0.00837215
6600,0.01995,0.026795,-0.006845,0.00571697,0.0062362,0.00846014
6800,0.01991,0.026675,-0.006765,0.00562858,0.00619665,0.00837134
7000,0.02007,0.026605,-0.006535,0.00574565,0.00626085,0.00849769
7200,0.02033,0.026155,-0.005825,0.00578019,0.00625334,0.00851556
7400,0.02038,0.026355,-0.005975,0.00575568,0.00625646,0.00850124
7600,0.0203,0.026225,-0.005925,0.00568639,0.00620451,0.00841611
7800,0.02043,0.026275,-0.005845,0.00567825,0.00613339,0.00835829
8000,0.0205,0.026095,-0.005595,0.00576151,0.006154,0.00843011
8200,0.02001,0.026795,-0.006785,0.00567758,0.00619437,0.00840269
8400,0.02031,0.02695,-0.00664,0.00575908,0.00613871,0.00841729
8600,0.02064,0.02661,-0.00597,0.00588602,0.00624011,0.00857812
8800,0.02018,0.02686,-0.00668,0.00572309,0.00619195,0.00843173
9000,0.02023,0.02685,-0.00662,0.00578174,0.00625809,0.00852011
9200,0.02043,0.02664,-0.00621,0.00579332,0.00629486,0.00855498
9400,0.02057,0.02661,-0.00604,0.00597516,0.00634578,0.00871616
9600,0.02049,0.02647,-0.00598,0.00581162,0.0063178,0.00858426
9800,0.02073,0.02631,-0.00558,0.00582568,0.00622792,0.00852792
10000,0.02054,0.02661,-0.00607,0.00575102,0.00613995,0.00841268
10200,0.02029,0.02689,-0.0066,0.00576046,0.0062112,0.00847124
10400,0.02004,0.02699,-0.00695,0.00577574,0.00618182,0.00846015
