t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
10600,0.02003,0.02711,-0.00708,0.00566609,0.00612364,0.00834287
10800,0.01988,0.02734,-0.00746,0.00561274,0.00606978,0.0082671
11000,0.01989,0.02729,-0.0074,0.00566383,0.00617681,0.00838045
11200,0.02018,0.02713,-0.00695,0.00574315,0.00610955,0.00838513
11400,0.01998,0.02693,-0.00695,0.00570437,0.006163,0.00839776
11600,0.02037,0.02673,-0.00636,0.00554946,0.00615537,0.00828765
11800,0.01969,0.02747,-0.00778,0.00540064,0.00607079,0.00812536
12000,0.02024,0.02697,-0.00673,0.00549647,0.00613062,0.00823382
12200,0.02024,0.02708,-0.00684,0.00553996,0.00612428,0.00825821
12400,0.02014,0.02693,-0.00679,0.00553265,0.00620021,0.0083098
12600,0.02005,0.02716,-0.00711,0.00535479,0.00605287,0.00808152
12800,0.0202,0.02711,-0.00691,0.00547631,0.00606457,0.00817123
13000,0.02014,0.02708,-0.00694,0.00543141,0.00600973,0.00810043
13200,0.02031,0.02714,-0.00683,0.00554319,0.00611475,0.00825331
13400,0.01988,0.0273,-0.00742,0.0054436,0.00610778,0.00818155
13600,0.02016,0.02716,-0.007,0.00548883,0.00607101,0.0081844
13800,0.02009,0.02714,-0.00705,0.00547823,0.0060992,0.00819824
14000,0.02025,0.02704,-0.00679,0.00554831,0.00612692,0.00826577
14200,0.02045,0.02684,-0.00639,0.00547574,0.00607431,0.00817808
14400,0.02071,0.02639,-0.00568,0.00559043,0.00617,0.00832598
14600,0.02118,0.02613,-0.00495,0.00576488,0.00623992,0.00849531
14800,0.02124,0.02591,-0.00467,0.00574728,0.00625787,0.0084966
15000,0.02109,0.02622,-0.00513,0.00570184,0.00623104,0.00844611
15200,0.02069,0.02647,-0.00578,0.00552059,0.00612491,0.0082457
15400,0.02072,0.0265,-0.00578,0.00555885,0.00611351,0.00826292
15600,0.02089,0.0263,-0.00541,0.00564083,0.00623177,0.00840559
15800,0.02079,0.02644,-0.00565,0.00556264,0.00621154,0.00833823
16000,0.0203,0.02663,-0.00633,0.00547768,0.00615195,0.00823721
16200,0.02045,0.02678,-0.00633,0.00553658,0.00611603,0.00824982
16400,0.02044,0.0269,-0.00646,0.00558688,0.00613963,0.0083011
16600,0.02029,0.0269,-0.00661,0.00547202,0.00606094,0.00816566
16800,0.02028,0.02709,-0.00681,0.00550007,0.00614418,0.00824632
17000,0.02064,0.02668,-0.00604,0.00566703,0.00622566,0.00841867
17200,0.02085,0.02648,-0.00563,0.00566778,0.00621167,0.00840884
17400,0.02091,0.02634,-0.00543,0.00569218,0.00624357,0.00844885
17600,0.02069,0.02642,-0.00573,0.00574604,0.00632865,0.00854803
17800,0.02052,0.02644,-0.00592,0.00560578,0.00629072,0.00842603
18000,0.02015,0.02694,-0.00679,0.00550488,0.00607686,0.00819951
18200,0.0203,0.02715,-0.00685,0.00550045,0.00608471,0.00820236
18400,0.01984,0.02741,-0.00757,0.00536071,0.00599591,0.00804289
18600,0.02045,0.02669,-0.00624,0.00551396,0.00614955,0.00825958
18800,0.02027,0.02694,-0.00667,0.00541558,0.00608672,0.00814719
19000,0.02033,0.02695,-0.00662,0.00552997,0.00612076,0.0082489
19200,0.02034,0.02712,-0.00678,0.00549383,0.00605168,0.00817343
19400,0.02003,0.02717,-0.00714,0.00542997,0.0060647,0.00814034
19600,0.01989,0.02726,-0.00737,0.00531591,0.00598048,0.00800157
19800,0.01991,0.02734,-0.00743,0.00543148,0.00607225,0.00814697
20000,0.01997,0.02718,-0.00721,0.00553485,0.00613545,0.00826307
