t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
4.3e+06,0.250267,0.250231,3.562e-05,0.00161638,0.00161666,0.0022861
4.4e+06,0.250258,0.25024,1.846e-05,0.00161913,0.00161942,0.00229
4.5e+06,0.250233,0.250265,-3.211e-05,0.00170379,0.00170183,0.00240814
4.6e+06,0.250273,0.250226,4.71e-05,0.001641,0.00164192,0.00232138
4.7e+06,0.250303,0.250195,0.00010866,0.00159487,0.00159583,0.00225617
4.8e+06,0.250295,0.250204,9.094e-05,0.00162421,0.00162622,0.00229841
4.9e+06,0.25027,0.250228,4.226e-05,0.00156603,0.00156575,0.0022145
5e+06,0.250266,0.250232,3.412e-05,0.00164565,0.0016465,0.0023279
5.1e+06,0.25027,0.250228,4.27e-05,0.00151931,0.00151922,0.00214856
5.2e+06,0.250227,0.250272,-4.509e-05,0.00153602,0.00153584,0.00217213
5.3e+06,0.2502,0.250298,-9.85e-05,0.00154154,0.00154123,0.00217985
5.4e+06,0.250186,0.250313,-0.00012664,0.00159967,0.0016004,0.00226279
5.5e+06,0.250183,0.250315,-0.00013187,0.00165838,0.00165901,0.00234575
5.6e+06,0.250192,0.250307,-0.00011506,0.00172203,0.00172341,0.00243629
5.7e+06,0.25024,0.250258,-1.836e-05,0.00177508,0.00177639,0.00251127
5.8e+06,0.25026,0.250238,2.208e-05,0.00154311,0.0015438,0.00218278
5.9e+06,0.250253,0.250246,6.87e-06,0.00173571,0.00173546,0.00245449
6e+06,0.250268,0.25023,3.714e-05,0.00185168,0.00185281,0.00261947
6.1e+06,0.250263,0.250236,2.705e-05,0.00186361,0.00186321,0.00263527
6.2e+06,0.250237,0.250261,-2.338e-05,0.00167845,0.0016767,0.00237245
6.3e+06,0.250242,0.250256,-1.428e-05,0.00168228,0.00168133,0.00237843
6.4e+06,0.25024,0.250258,-1.881e-05,0.0016605,0.0016609,0.00234858
6.5e+06,0.250242,0.250256,-1.408e-05,0.00173805,0.00173889,0.00245857
6.6e+06,0.250275,0.250223,5.228e-05,0.00171007,0.00171134,0.0024193
6.7e+06,0.250255,0.250243,1.192e-05,0.00154098,0.00154155,0.00217968
6.8e+06,0.250246,0.250252,-6.26e-06,0.00171118,0.00171185,0.00242045
6.9e+06,0.250216,0.250282,-6.67e-05,0.00176409,0.00176302,0.00249404
7e+06,0.250215,0.250283,-6.808e-05,0.00191896,0.00191979,0.00271441
7.1e+06,0.250221,0.250277,-5.549e-05,0.00169967,0.00170031,0.00240415
7.2e+06,0.250228,0.25027,-4.215e-05,0.0018358,0.00183611,0.00259644
7.3e+06,0.250214,0.250284,-7.059e-05,0.00178586,0.00178523,0.00252515
7.4e+06,0.250226,0.250272,-4.551e-05,0.00166873,0.00167002,0.00236086
7.5e+06,0.250219,0.250279,-5.948e-05,0.0016967,0.00169642,0.0023993
7.6e+06,0.250204,0.250294,-8.996e-05,0.00167282,0.00167379,0.00236641
7.7e+06,0.250211,0.250287,-7.625e-05,0.00154772,0.00154892,0.00218965
7.8e+06,0.250222,0.250276,-5.418e-05,0.00168043,0.00168053,0.00237656
7.9e+06,0.250208,0.25029,-8.232e-05,0.00162833,0.00162762,0.0023023
8e+06,0.250197,0.250301,-0.00010381,0.00163792,0.00163809,0.00231649
8.1e+06,0.250214,0.250284,-7.031e-05,0.00181047,0.00180994,0.00256002
8.2e+06,0.250235,0.250263,-2.777e-05,0.00181546,0.00181628,0.00256803
8.3e+06,0.250252,0.250246,5.96e-06,0.00177565,0.00177642,0.0025117
8.4e+06,0.25027,0.250228,4.241e-05,0.00184788,0.00184866,0.00261385
8.5e+06,0.250259,0.250239,2.013e-05,0.0017544,0.00175561,0.00248196
8.6e+06,0.250256,0.250242,1.454e-05,0.00147552,0.00147515,0.00208644
8.7e+06,0.250253,0.250246,7.09e-06,0.00155029,0.00155098,0.00219293
8.8e+06,0.250266,0.250232,3.37e-05,0.00146512,0.00146438,0.00207147
8.9e+06,0.250247,0.250251,-4.1e-06,0.0014922,0.00149218,0.00211027
9e+06,0.250241,0.250258,-1.696e-05,0.0015671,0.0015685,0.0022172
9.1e+06,0.250252,0.250247,5.18e-06,0.00161086,0.001611,0.0022782
9.2e+06,0.250271,0.250227,4.346e-05,0.00171304,0.0017138,0.00242314
9.3e+06,0.250278,0.25022,5.719e-05,0.00176076,0.0017614,0.00249054
9.4e+06,0.250284,0.250215,6.902e-05,0.00161496,0.0016151,0.002284
9.5e+06,0.250246,0.250253,-6.85e-06,0.00161174,0.00161084,0.00227871
9.6e+06,0.250255,0.250243,1.142e-05,0.0015686,0.00156863,0.00221836
9.7e+06,0.250266,0.250232,3.422e-05,0.00155709,0.00155623,0.00220146
9.8e+06,0.25026,0.250238,2.173e-05,0.00169885,0.00169878,0.00240249
9.9e+06,0.250232,0.250267,-3.508e-05,0.00177371,0.00177319,0.00250803
1e+07,0.250245,0.250253,-8.57e-06,0.00187298,0.0018731,0.00264888
