t,C_A,C_B,delta,desv_pad_C_A,desv_pad_C_B,erro_delta
1,0.5,0.0005,0.4995,0,2.29994e-18,2.29994e-18
100000,0.454728,0.0457625,0.408966,0.000877242,0.000880784,0.00124311
200000,0.41766,0.0828349,0.334825,0.00117836,0.00117702,0.0016655
300000,0.387323,0.113174,0.274149,0.00147276,0.00147379,0.00208353
400000,0.362474,0.138023,0.224451,0.00146506,0.0014667,0.00207307
500000,0.342139,0.158358,0.183781,0.00140872,0.00140835,0.00199196
600000,0.325513,0.174985,0.150528,0.00140612,0.00140554,0.00198814
700000,0.311846,0.188652,0.123194,0.00151625,0.00151731,0.00214505
800000,0.300698,0.1998,0.100898,0.00148123,0.00148081,0.00209448
900000,0.291552,0.208946,0.0826066,0.00175327,0.0017534,0.00247959
1e+06,0.284078,0.21642,0.0676577,0.0017734,0.0017729,0.00250761
1.1e+06,0.277955,0.222543,0.0554113,0.00191091,0.00191075,0.00270233
1.2e+06,0.272947,0.227552,0.0453947,0.00162868,0.00162825,0.002303
1.3e+06,0.268867,0.231632,0.037235,0.00177198,0.00177281,0.00250654
1.4e+06,0.265467,0.235032,0.030435,0.00164815,0.00164898,0.00233142
1.5e+06,0.262691,0.237807,0.0248846,0.0017521,0.001753,0.00247848
1.6e+06,0.260412,0.240086,0.0203255,0.00158671,0.0015868,0.00224401
1.7e+06,0.258554,0.241944,0.0166098,0.00172018,0.00171961,0.0024323
1.8e+06,0.257024,0.243474,0.0135503,0.0017584,0.00175857,0.00248688
1.9e+06,0.255794,0.244704,0.0110897,0.00164115,0.00164042,0.00232043
2e+06,0.254791,0.245707,0.0090843,0.00176883,0.00176784,0.0025008
2.1e+06,0.253964,0.246535,0.00742919,0.00165043,0.00165087,0.00233437
2.2e+06,0.253324,0.247174,0.00615078,0.00162642,0.00162693,0.00230046
2.3e+06,0.252738,0.24776,0.00497818,0.00176089,0.00176198,0.00249105
2.4e+06,0.252268,0.24823,0.00403861,0.00170161,0.00170159,0.00240643
2.5e+06,0.251914,0.248584,0.00333026,0.00188946,0.00188833,0.0026713
2.6e+06,0.251592,0.248906,0.00268593,0.00190853,0.00190847,0.00269903
2.7e+06,0.25135,0.249148,0.00220266,0.00184633,0.00184594,0.00261083
2.8e+06,0.25117,0.249328,0.0018427,0.00192323,0.00192274,0.00271951
2.9e+06,0.251017,0.249482,0.00153504,0.00187826,0.00187689,0.00265529
3e+06,0.250893,0.249605,0.00128828,0.00187657,0.00187567,0.00265323
3.1e+06,0.250776,0.249722,0.00105306,0.00178007,0.00177936,0.00251689
3.2e+06,0.25068,0.249818,0.00086231,0.00182132,0.00182132,0.00257574
3.3e+06,0.250596,0.249902,0.0006946,0.00168051,0.00168009,0.0023763
3.4e+06,0.250498,0.250001,0.00049721,0.00156698,0.00156732,0.00221629
3.5e+06,0.250443,0.250055,0.00038839,0.00171002,0.00171019,0.00241845
3.6e+06,0.250396,0.250102,0.00029332,0.00167184,0.00167137,0.00236401
3.7e+06,0.250367,0.250131,0.00023573,0.00154601,0.00154586,0.00218628
3.8e+06,0.250341,0.250157,0.00018441,0.00156848,0.00156956,0.00221893
3.9e+06,0.250313,0.250185,0.00012744,0.00153164,0.00153146,0.00216594
4e+06,0.250314,0.250184,0.00013035,0.00149076,0.00149127,0.00210861
4.1e+06,0.250266,0.250232,3.329e-05,0.00151854,0.00151853,0.00214753
4.2e+06,0.250271,0.250227,4.325e-05,0.00157494,0.00157494,0.0022273
